feature_key,feature_name,feature_node_type,gt_signed,method,target,explainer_score,gt_clipped,explainer_abs,gt_norm,explainer_norm,mae_component
BO_loew_H,BO_loew,H,0.001221,gnnexplainer,H,0.2805204689502716,0.001221,0.2805204689502716,0.018753167764825142,0.016958799719971586,0.001794368044853556
BO_loew_av_C,BO_loew_av,C,0.001198,gnnexplainer,H,0.4215659499168396,0.001198,0.4215659499168396,0.018399913990385354,0.02548567147400077,0.007085757483615417
BO_loew_sum_C,BO_loew_sum,C,0.003368,gnnexplainer,H,0.41268399357795715,0.003368,0.41268399357795715,0.05172863966579121,0.024948714868886362,0.026779924796904844
BO_mayer_H,BO_mayer,H,0.00168,gnnexplainer,H,0.25611412525177,0.00168,0.25611412525177,0.0258028843938626,0.01548331988697212,0.01031956450689048
BO_mayer_av_C,BO_mayer_av,C,-0.000213,gnnexplainer,H,0.42022132873535156,0.0,0.42022132873535156,0.0,0.02540438271314343,0.02540438271314343
BO_mayer_sum_C,BO_mayer_sum,C,0.000469,gnnexplainer,H,0.42003917694091797,0.000469,0.42003917694091797,0.007203305226619976,0.02539337076876735,0.018190065542147374
CNX_C,CN(X),C,-0.001239,gnnexplainer,H,0.44210803508758545,0.0,0.44210803508758545,0.0,0.02672753845627447,0.02672753845627447
CNX_H,CN(X),H,0.001119,gnnexplainer,H,0.27417030930519104,0.001119,0.27417030930519104,0.017186564069483483,0.01657490229525333,0.0006116617742301517
anisotropy_C,anisotropy,C,0.000562,gnnexplainer,H,0.41639474034309387,0.000562,0.41639474034309387,0.00863167918413737,0.02517304720169963,0.016541368017562258
anisotropy_H,anisotropy,H,0.000111,gnnexplainer,H,0.26523861289024353,0.000111,0.26523861289024353,0.0017048334331659218,0.016034938665406645,0.014330105232240722
asymmetry_C,asymmetry,C,-0.000121,gnnexplainer,H,0.42739608883857727,0.0,0.42739608883857727,0.0,0.025838131166811593,0.025838131166811593
asymmetry_H,asymmetry,H,0.001206,gnnexplainer,H,0.2758444547653198,0.001206,0.2758444547653198,0.018522784868451367,0.01667611236975045,0.001846672498700918
at_charge_loew_C,at_charge_loew,C,0.000762,gnnexplainer,H,0.437068909406662,0.000762,0.437068909406662,0.011703451135787678,0.026422899284999964,0.014719448149212286
at_charge_loew_H,at_charge_loew,H,0.002042,gnnexplainer,H,0.2665736675262451,0.002042,0.2665736675262451,0.03136279162634966,0.016115649082981142,0.015247142543368519
at_charge_mull_C,at_charge_mull,C,0.001707,gnnexplainer,H,0.4180980622768402,0.001707,0.4180980622768402,0.02621757360733539,0.025276021133124788,0.0009415524742106031
at_charge_mull_H,at_charge_mull,H,0.000688,gnnexplainer,H,0.26553189754486084,0.000688,0.26553189754486084,0.010566895513677064,0.016052669121003015,0.005485773607325951
degree_C,degree,C,0.000482,gnnexplainer,H,0.44339480996131897,0.000482,0.44339480996131897,0.007402970403477246,0.026805330132047715,0.01940235972857047
degree_H,degree,H,0.001439,gnnexplainer,H,0.26298484206199646,0.001439,0.26298484206199646,0.022101399192123977,0.015898687474062274,0.0062027117180617035
formal_charge_C,formal_charge,C,-1.2e-05,gnnexplainer,H,0.0,0.0,0.0,0.0,0.0,0.0
formal_charge_H,formal_charge,H,0.001436,gnnexplainer,H,0.0,0.001436,0.0,0.02205532261284922,0.0,0.02205532261284922
mass_C,mass,C,0.002106,gnnexplainer,H,0.4096347987651825,0.002106,0.4096347987651825,0.03234575865087776,0.024764376505520127,0.00758138214535763
mass_H,mass,H,0.002006,gnnexplainer,H,0.2609083950519562,0.002006,0.2609083950519562,0.030809872675052603,0.015773156352913858,0.015036716322138745
mayer_VA_C,mayer_VA,C,0.002041,gnnexplainer,H,0.4206279516220093,0.002041,0.4206279516220093,0.0313474327665914,0.025428965005202864,0.005918467761388539
mayer_VA_H,mayer_VA,H,0.001446,gnnexplainer,H,0.2588873505592346,0.001446,0.2588873505592346,0.02220891121043174,0.015650974578067002,0.006557936632364737
nodetype_onehot_C,nodetype_onehot,C,0.000837,gnnexplainer,H,0.40523234009742737,0.000837,0.40523234009742737,0.012855365617656545,0.02449822689048028,0.011642861272823737
nodetype_onehot_H,nodetype_onehot,H,0.001476,gnnexplainer,H,0.2793441414833069,0.001476,0.2793441414833069,0.022669677003179286,0.016887685116491823,0.005781991886687463
orb_charge_loew_d_C,orb_charge_loew_d,C,0.003479,gnnexplainer,H,0.44388213753700256,0.003479,0.44388213753700256,0.05343347309895713,0.026834791407315664,0.026598681691641465
orb_charge_loew_p_C,orb_charge_loew_p,C,0.002688,gnnexplainer,H,0.44100677967071533,0.002688,0.44100677967071533,0.041284615030180154,0.026660962316126406,0.014623652714053748
orb_charge_loew_p_H,orb_charge_loew_p,H,0.003049,gnnexplainer,H,0.2743087410926819,0.003049,0.2743087410926819,0.04682916340290897,0.016583271156776054,0.030245892246132916
orb_charge_loew_s_C,orb_charge_loew_s,C,0.002401,gnnexplainer,H,0.4449549615383148,0.002401,0.4449549615383148,0.03687662227956196,0.026899648732847434,0.009976973546714528
orb_charge_loew_s_H,orb_charge_loew_s,H,0.002754,gnnexplainer,H,0.25330114364624023,0.002754,0.25330114364624023,0.04229829977422476,0.01531326173812238,0.026985038036102377
orb_charge_mull_d_C,orb_charge_mull_d,C,0.002686,gnnexplainer,H,0.4402236044406891,0.002686,0.4402236044406891,0.04125389731066366,0.026613615639709678,0.014640281670953981
