feature_key,feature_name,feature_node_type,gt_signed,method,target,explainer_score,gt_clipped,explainer_abs,gt_norm,explainer_norm,mae_component
BO_loew_H,BO_loew,H,-0.052992,integrated_gradients,C,0.0018200223566964269,0.0,0.0018200223566964269,0.0,0.00027910278971576954,0.00027910278971576954
BO_loew_av_C,BO_loew_av,C,-0.059382,integrated_gradients,C,0.1310943141579628,0.0,0.1310943141579628,0.0,0.020103483159281763,0.020103483159281763
BO_loew_sum_C,BO_loew_sum,C,-0.052868,integrated_gradients,C,0.10510006919503212,0.0,0.10510006919503212,0.0,0.016117231969006322,0.016117231969006322
BO_mayer_H,BO_mayer,H,-0.053976,integrated_gradients,C,0.0020816607866436243,0.0,0.0020816607866436243,0.0,0.0003192253824006554,0.0003192253824006554
BO_mayer_av_C,BO_mayer_av,C,-0.046372,integrated_gradients,C,0.0898501006886363,0.0,0.0898501006886363,0.0,0.013778629513079108,0.013778629513079108
BO_mayer_sum_C,BO_mayer_sum,C,-0.126715,integrated_gradients,C,0.21377166081219912,0.0,0.21377166081219912,0.0,0.032782161535178225,0.032782161535178225
CNX_C,CN(X),C,-0.088181,integrated_gradients,C,0.15113997925072908,0.0,0.15113997925072908,0.0,0.02317751190871667,0.02317751190871667
CNX_H,CN(X),H,0.017995,integrated_gradients,C,0.019873589277267456,0.017995,0.019873589277267456,0.10767260825599692,0.003047640699875168,0.10462496755612176
anisotropy_C,anisotropy,C,-0.039632,integrated_gradients,C,0.3125804141163826,0.0,0.3125804141163826,0.0,0.04793461204990272,0.04793461204990272
anisotropy_H,anisotropy,H,-0.04705,integrated_gradients,C,0.01265767216682434,0.0,0.01265767216682434,0.0,0.0019410704489810726,0.0019410704489810726
asymmetry_C,asymmetry,C,-0.055741,integrated_gradients,C,0.18441354669630527,0.0,0.18441354669630527,0.0,0.028280056645976246,0.028280056645976246
asymmetry_H,asymmetry,H,-0.063565,integrated_gradients,C,0.009193381294608116,0.0,0.009193381294608116,0.0,0.0014098169491188733,0.0014098169491188733
at_charge_loew_C,at_charge_loew,C,0.000469,integrated_gradients,C,0.16160744102671742,0.000469,0.16160744102671742,0.002806249139875663,0.024782710752660773,0.02197646161278511
at_charge_loew_H,at_charge_loew,H,-0.033359,integrated_gradients,C,0.02140546403825283,0.0,0.02140546403825283,0.0,0.003282555681942891,0.003282555681942891
at_charge_mull_C,at_charge_mull,C,-0.043136,integrated_gradients,C,0.08088686503469944,0.0,0.08088686503469944,0.0,0.012404105696550575,0.012404105696550575
at_charge_mull_H,at_charge_mull,H,-0.038276,integrated_gradients,C,0.028103632852435112,0.0,0.028103632852435112,0.0,0.0043097285598732386,0.0043097285598732386
degree_C,degree,C,-0.05994,integrated_gradients,C,0.16630046255886555,0.0,0.16630046255886555,0.0,0.025502391693391763,0.025502391693391763
degree_H,degree,H,-0.038476,integrated_gradients,C,0.0,0.0,0.0,0.0,0.0,0.0
formal_charge_C,formal_charge,C,-0.057957,integrated_gradients,C,0.0,0.0,0.0,0.0,0.0,0.0
formal_charge_H,formal_charge,H,-0.021836,integrated_gradients,C,0.0,0.0,0.0,0.0,0.0,0.0
mass_C,mass,C,-0.027725,integrated_gradients,C,0.0,0.0,0.0,0.0,0.0,0.0
mass_H,mass,H,-0.01279,integrated_gradients,C,0.0,0.0,0.0,0.0,0.0,0.0
