feature_key,feature_name,feature_node_type,gt_signed,method,target,explainer_score,gt_clipped,explainer_abs,gt_norm,explainer_norm,mae_component
BO_loew_H,BO_loew,H,0.001221,integrated_gradients,H,0.0020018261202494614,0.001221,0.0020018261202494614,0.018753167764825142,0.014164525431086122,0.0045886423337390195
BO_loew_av_C,BO_loew_av,C,0.001198,integrated_gradients,H,0.0004943172098137438,0.001198,0.0004943172098137438,0.018399913990385354,0.003497690742769292,0.014902223247616062
BO_loew_sum_C,BO_loew_sum,C,0.003368,integrated_gradients,H,0.0006116625154390931,0.003368,0.0006116625154390931,0.05172863966579121,0.004328002900721203,0.04740063676507
BO_mayer_H,BO_mayer,H,0.00168,integrated_gradients,H,0.0007940809555293527,0.00168,0.0007940809555293527,0.0258028843938626,0.005618759679054952,0.02018412471480765
BO_mayer_av_C,BO_mayer_av,C,-0.000213,integrated_gradients,H,0.000502261274959892,0.0,0.000502261274959892,0.0,0.003553901375476392,0.003553901375476392
BO_mayer_sum_C,BO_mayer_sum,C,0.000469,integrated_gradients,H,0.0008898052619770169,0.000469,0.0008898052619770169,0.007203305226619976,0.006296085925992951,0.0009072193006270258
CNX_C,CN(X),C,-0.001239,integrated_gradients,H,0.0011446649441495538,0.0,0.0011446649441495538,0.0,0.008099422595933875,0.008099422595933875
CNX_H,CN(X),H,0.001119,integrated_gradients,H,0.0044979575905017555,0.001119,0.0044979575905017555,0.017186564069483483,0.03182665768726679,0.01464009361778331
anisotropy_C,anisotropy,C,0.000562,integrated_gradients,H,0.0010435042204335332,0.000562,0.0010435042204335332,0.00863167918413737,0.007383629336365413,0.001248049847771957
anisotropy_H,anisotropy,H,0.000111,integrated_gradients,H,0.0059539194626268,0.000111,0.0059539194626268,0.0017048334331659218,0.042128755734542236,0.040423922301376314
asymmetry_C,asymmetry,C,-0.000121,integrated_gradients,H,0.0011445131385698915,0.0,0.0011445131385698915,0.0,0.008098348449697118,0.008098348449697118
asymmetry_H,asymmetry,H,0.001206,integrated_gradients,H,0.004044083820190281,0.001206,0.004044083820190281,0.018522784868451367,0.028615136717963684,0.010092351849512318
at_charge_loew_C,at_charge_loew,C,0.000762,integrated_gradients,H,0.001122692716307938,0.000762,0.001122692716307938,0.011703451135787678,0.007943951460408178,0.0037594996753795
at_charge_loew_H,at_charge_loew,H,0.002042,integrated_gradients,H,0.008490326959872618,0.002042,0.008490326959872618,0.03136279162634966,0.06007587318641102,0.02871308156006136
at_charge_mull_C,at_charge_mull,C,0.001707,integrated_gradients,H,0.0008935669902712107,0.001707,0.0008935669902712107,0.02621757360733539,0.006322703170891975,0.019894870436443418
at_charge_mull_H,at_charge_mull,H,0.000688,integrated_gradients,H,0.008007590076886117,0.000688,0.008007590076886117,0.010566895513677064,0.056660122544325564,0.0460932270306485
degree_C,degree,C,0.000482,integrated_gradients,H,0.0006354098441079259,0.000482,0.0006354098441079259,0.007402970403477246,0.004496034298377322,0.0029069361050999233
degree_H,degree,H,0.001439,integrated_gradients,H,0.0,0.001439,0.0,0.022101399192123977,0.0,0.022101399192123977
formal_charge_C,formal_charge,C,-1.2e-05,integrated_gradients,H,0.0,0.0,0.0,0.0,0.0,0.0
formal_charge_H,formal_charge,H,0.001436,integrated_gradients,H,0.0,0.001436,0.0,0.02205532261284922,0.0,0.02205532261284922
mass_C,mass,C,0.002106,integrated_gradients,H,0.0,0.002106,0.0,0.03234575865087776,0.0,0.03234575865087776
mass_H,mass,H,0.002006,integrated_gradients,H,0.0,0.002006,0.0,0.030809872675052603,0.0,0.030809872675052603
mayer_VA_C,mayer_VA,C,0.002041,integrated_gradients,H,0.0009500893065705895,0.002041,0.0009500893065705895,0.0313474327665914,0.0067226438942884085,0.024624788872302995
mayer_VA_H,mayer_VA,H,0.001446,integrated_gradients,H,0.0029524449237214867,0.001446,0.0029524449237214867,0.02220891121043174,0.020890915940652552,0.0013179952697791875
nodetype_onehot_C,nodetype_onehot,C,0.000837,integrated_gradients,H,0.0,0.000837,0.0,0.012855365617656545,0.0,0.012855365617656545
nodetype_onehot_H,nodetype_onehot,H,0.001476,integrated_gradients,H,0.0,0.001476,0.0,0.022669677003179286,0.0,0.022669677003179286
orb_charge_loew_d_C,orb_charge_loew_d,C,0.003479,integrated_gradients,H,0.000864582892972976,0.003479,0.000864582892972976,0.05343347309895713,0.006117617434860736,0.04731585566409639
orb_charge_loew_p_C,orb_charge_loew_p,C,0.002688,integrated_gradients,H,0.0006894132238812745,0.002688,0.0006894132238812745,0.041284615030180154,0.004878151525456403,0.03640646350472375
orb_charge_loew_p_H,orb_charge_loew_p,H,0.003049,integrated_gradients,H,0.024320740543771535,0.003049,0.024320740543771535,0.04682916340290897,0.17208874659511872,0.12525958319220976
orb_charge_loew_s_C,orb_charge_loew_s,C,0.002401,integrated_gradients,H,0.0016421970212832093,0.002401,0.0016421970212832093,0.03687662227956196,0.01161986110358136,0.0252567611759806
orb_charge_loew_s_H,orb_charge_loew_s,H,0.002754,integrated_gradients,H,0.00440722029452445,0.002754,0.00440722029452445,0.04229829977422476,0.031184618539401954,0.011113681234822804
orb_charge_mull_d_C,orb_charge_mull_d,C,0.002686,integrated_gradients,H,0.0011341465869918466,0.002686,0.0011341465869918466,0.04125389731066366,0.008024996782449624,0.033228900528214034
orb_charge_mull_p_C,orb_charge_mull_p,C,0.000257,integrated_gradients,H,0.0009396115783601999,0.000257,0.0009396115783601999,0.003947226957870648,0.006648505563194208,0.00270127860532356
orb_charge_mull_p_H,orb_charge_mull_p,H,0.001099,integrated_gradients,H,0.0017215443367604166,0.001099,0.0017215443367604166,0.01687938687431845,0.012181307003700424,0.004698079870618026
orb_charge_mull_s_C,orb_charge_mull_s,C,0.000722,integrated_gradients,H,0.0023624913301318884,0.000722,0.0023624913301318884,0.011089096745457617,0.016716521074369578,0.005627424328911961
orb_charge_mull_s_H,orb_charge_mull_s,H,0.001942,integrated_gradients,H,0.0014296497465693392,0.001942,0.0014296497465693392,0.029826905650524503,0.010115918654465206,0.019710986996059297
orb_stdev_loew_p_C,orb_stdev_loew_p,C,0.001703,integrated_gradients,H,0.0008704962092451751,0.001703,0.0008704962092451751,0.026156138168302385,0.006159458890455881,0.019996679277846503
orb_stdev_mull_p_C,orb_stdev_mull_p,C,0.000234,integrated_gradients,H,0.0011543110013008118,0.000234,0.0011543110013008118,0.003593973183430862,0.008167676187215658,0.004573703003784796
shielding_dia_C,shielding_dia,C,0.001383,integrated_gradients,H,0.0031973766162991524,0.001383,0.0031973766162991524,0.021241303045661887,0.022624004121139962,0.0013827010754780752
shielding_dia_H,shielding_dia,H,0.001001,integrated_gradients,H,0.002864692396542523,0.001001,0.002864692396542523,0.015374218618009798,0.02026999642606773,0.0048957778080579335
shielding_para_C,shielding_para,C,0.001392,integrated_gradients,H,0.0034853836987167597,0.001392,0.0034853836987167597,0.021379532783486154,0.02466188523477472,0.0032823524512885643
shielding_para_H,shielding_para,H,0.001151,integrated_gradients,H,0.01729342876933515,0.001151,0.01729342876933515,0.01767804758174753,0.12236487930500119,0.10468683172325366
shift_low_C,shift_low,C,0.001359,integrated_gradients,H,0.003721129847690463,0.001359,0.003721129847690463,0.020872690411463852,0.026329978326697465,0.005457287915233613
shift_low_H,shift_low,H,0.002958,integrated_gradients,H,0.015288616705220193,0.002958,0.015288616705220193,0.045431507164908076,0.10817922592609243,0.06274771876118435
skew_C,skew,C,4.1e-05,integrated_gradients,H,0.0006571935373358428,4.1e-05,0.0006571935373358428,0.0006297132500883134,0.004650171400290728,0.004020458150202415
skew_H,skew,H,-0.000626,integrated_gradients,H,0.002957950928248465,0.0,0.002957950928248465,0.0,0.020929875338952512,0.020929875338952512
span_C,span,C,0.001415,integrated_gradients,H,0.001126810908317566,0.001415,0.001126810908317566,0.02173278655792594,0.007973090972007317,0.013759695585918622
span_H,span,H,0.001993,integrated_gradients,H,0.0030230286647565663,0.001993,0.0030230286647565663,0.030610207498195333,0.021390352522481143,0.00921985497571419
