feature_key,feature_node_type,target,gt_signed,explainer_score,gt_rank,explainer_rank
BO_loew_H,H,H,0.001221,0.2805204689502716,26,30
BO_loew_av_C,C,H,0.001198,0.4215659499168396,28,16
BO_loew_sum_C,C,H,0.003368,0.41268399357795715,2,24
BO_mayer_H,H,H,0.00168,0.25611412525177,17,45
BO_mayer_av_C,C,H,-0.000213,0.42022132873535156,46,18
BO_mayer_sum_C,C,H,0.000469,0.42003917694091797,39,19
CNX_C,C,H,-0.001239,0.44210803508758545,48,7
CNX_H,H,H,0.001119,0.27417030930519104,30,34
anisotropy_C,C,H,0.000562,0.41639474034309387,37,22
anisotropy_H,H,H,0.000111,0.26523861289024353,42,39
asymmetry_C,C,H,-0.000121,0.42739608883857727,45,13
asymmetry_H,H,H,0.001206,0.2758444547653198,27,32
at_charge_loew_C,C,H,0.000762,0.437068909406662,34,10
at_charge_loew_H,H,H,0.002042,0.2665736675262451,10,37
at_charge_mull_C,C,H,0.001707,0.4180980622768402,15,20
at_charge_mull_H,H,H,0.000688,0.26553189754486084,36,38
degree_C,C,H,0.000482,0.44339480996131897,38,6
degree_H,H,H,0.001439,0.26298484206199646,20,40
formal_charge_C,C,H,-1.2e-05,0.0,44,47
formal_charge_H,H,H,0.001436,0.0,21,48
mass_C,C,H,0.002106,0.4096347987651825,9,25
mass_H,H,H,0.002006,0.2609083950519562,12,42
mayer_VA_C,C,H,0.002041,0.4206279516220093,11,17
mayer_VA_H,H,H,0.001446,0.2588873505592346,19,43
nodetype_onehot_C,C,H,0.000837,0.40523234009742737,33,26
nodetype_onehot_H,H,H,0.001476,0.2793441414833069,18,31
orb_charge_loew_d_C,C,H,0.003479,0.44388213753700256,1,5
orb_charge_loew_p_C,C,H,0.002688,0.44100677967071533,6,8
orb_charge_loew_p_H,H,H,0.003049,0.2743087410926819,3,33
orb_charge_loew_s_C,C,H,0.002401,0.4449549615383148,8,4
orb_charge_loew_s_H,H,H,0.002754,0.25330114364624023,5,46
orb_charge_mull_d_C,C,H,0.002686,0.4402236044406891,7,9
orb_charge_mull_p_C,C,H,0.000257,0.42550256848335266,40,15
orb_charge_mull_p_H,H,H,0.001099,0.2813236117362976,31,29
orb_charge_mull_s_C,C,H,0.000722,0.45673930644989014,35,1
orb_charge_mull_s_H,H,H,0.001942,0.2587875723838806,14,44
orb_stdev_loew_p_C,C,H,0.001703,0.42740553617477417,16,12
orb_stdev_mull_p_C,C,H,0.000234,0.4306400716304779,41,11
shielding_dia_C,C,H,0.001383,0.41465580463409424,24,23
shielding_dia_H,H,H,0.001001,0.26703864336013794,32,36
shielding_para_C,C,H,0.001392,0.44921788573265076,23,3
shielding_para_H,H,H,0.001151,0.28342145681381226,29,27
shift_low_C,C,H,0.001359,0.44994911551475525,25,2
shift_low_H,H,H,0.002958,0.2830413579940796,4,28
skew_C,C,H,4.1e-05,0.42679929733276367,43,14
skew_H,H,H,-0.000626,0.2615276277065277,47,41
span_C,C,H,0.001415,0.4179496765136719,22,21
span_H,H,H,0.001993,0.269031286239624,13,35
BO_loew_H,H,C,-0.052992,0.4063754379749298,34,42
BO_loew_av_C,C,C,-0.059382,0.4985734820365906,39,11
BO_loew_sum_C,C,C,-0.052868,0.4831407964229584,33,19
BO_mayer_H,H,C,-0.053976,0.40610840916633606,35,43
BO_mayer_av_C,C,C,-0.046372,0.4775390625,31,24
BO_mayer_sum_C,C,C,-0.126715,0.4920514225959778,48,15
CNX_C,C,C,-0.088181,0.4795212745666504,47,23
CNX_H,H,C,0.017995,0.4496944844722748,4,30
anisotropy_C,C,C,-0.039632,0.4984026551246643,29,12
anisotropy_H,H,C,-0.04705,0.43903660774230957,32,34
asymmetry_C,C,C,-0.055741,0.4829011857509613,36,20
asymmetry_H,H,C,-0.063565,0.4132331311702728,44,40
at_charge_loew_C,C,C,0.000469,0.5227921605110168,10,3
at_charge_loew_H,H,C,-0.033359,0.4358467757701874,24,35
at_charge_mull_C,C,C,-0.043136,0.48362886905670166,30,18
at_charge_mull_H,H,C,-0.038276,0.41933926939964294,27,38
degree_C,C,C,-0.05994,0.527625322341919,40,1
degree_H,H,C,-0.038476,0.42361980676651,28,37
formal_charge_C,C,C,-0.057957,0.0,38,47
formal_charge_H,H,C,-0.021836,0.0,21,48
mass_C,C,C,-0.027725,0.4859059751033783,22,16
mass_H,H,C,-0.01279,0.37453141808509827,18,46
mayer_VA_C,C,C,-0.012482,0.48198914527893066,17,21
mayer_VA_H,H,C,0.005885,0.4123798906803131,8,41
nodetype_onehot_C,C,C,-0.0353,0.45324569940567017,26,28
nodetype_onehot_H,H,C,-0.012007,0.45906007289886475,16,26
orb_charge_loew_d_C,C,C,-0.062902,0.48054075241088867,43,22
orb_charge_loew_p_C,C,C,-0.034271,0.524462878704071,25,2
orb_charge_loew_p_H,H,C,0.005225,0.417611300945282,9,39
orb_charge_loew_s_C,C,C,-0.03208,0.51569002866745,23,5
