feature_key,feature_node_type,target,gt_signed,explainer_score,gt_rank,explainer_rank
BO_loew_H,H,H,0.001221,0.0020018261202494614,26,18
BO_loew_av_C,C,H,0.001198,0.0004943172098137438,28,41
BO_loew_sum_C,C,H,0.003368,0.0006116625154390931,2,39
BO_mayer_H,H,H,0.00168,0.0007940809555293527,17,35
BO_mayer_av_C,C,H,-0.000213,0.000502261274959892,46,40
BO_mayer_sum_C,C,H,0.000469,0.0008898052619770169,39,32
CNX_C,C,H,-0.001239,0.0011446649441495538,48,23
CNX_H,H,H,0.001119,0.0044979575905017555,30,7
anisotropy_C,C,H,0.000562,0.0010435042204335332,37,28
anisotropy_H,H,H,0.000111,0.0059539194626268,42,6
asymmetry_C,C,H,-0.000121,0.0011445131385698915,45,24
asymmetry_H,H,H,0.001206,0.004044083820190281,27,9
at_charge_loew_C,C,H,0.000762,0.001122692716307938,34,27
at_charge_loew_H,H,H,0.002042,0.008490326959872618,10,4
at_charge_mull_C,C,H,0.001707,0.0008935669902712107,15,31
at_charge_mull_H,H,H,0.000688,0.008007590076886117,36,5
degree_C,C,H,0.000482,0.0006354098441079259,38,38
degree_H,H,H,0.001439,0.0,20,42
formal_charge_C,C,H,-1.2e-05,0.0,44,43
formal_charge_H,H,H,0.001436,0.0,21,44
mass_C,C,H,0.002106,0.0,9,45
mass_H,H,H,0.002006,0.0,12,46
mayer_VA_C,C,H,0.002041,0.0009500893065705895,11,29
mayer_VA_H,H,H,0.001446,0.0029524449237214867,19,15
nodetype_onehot_C,C,H,0.000837,0.0,33,47
nodetype_onehot_H,H,H,0.001476,0.0,18,48
orb_charge_loew_d_C,C,H,0.003479,0.000864582892972976,1,34
orb_charge_loew_p_C,C,H,0.002688,0.0006894132238812745,6,36
orb_charge_loew_p_H,H,H,0.003049,0.024320740543771535,3,1
orb_charge_loew_s_C,C,H,0.002401,0.0016421970212832093,8,20
orb_charge_loew_s_H,H,H,0.002754,0.00440722029452445,5,8
orb_charge_mull_d_C,C,H,0.002686,0.0011341465869918466,7,25
orb_charge_mull_p_C,C,H,0.000257,0.0009396115783601999,40,30
orb_charge_mull_p_H,H,H,0.001099,0.0017215443367604166,31,19
orb_charge_mull_s_C,C,H,0.000722,0.0023624913301318884,35,17
orb_charge_mull_s_H,H,H,0.001942,0.0014296497465693392,14,21
orb_stdev_loew_p_C,C,H,0.001703,0.0008704962092451751,16,33
orb_stdev_mull_p_C,C,H,0.000234,0.0011543110013008118,41,22
shielding_dia_C,C,H,0.001383,0.0031973766162991524,24,12
shielding_dia_H,H,H,0.001001,0.002864692396542523,32,16
shielding_para_C,C,H,0.001392,0.0034853836987167597,23,11
shielding_para_H,H,H,0.001151,0.01729342876933515,29,2
shift_low_C,C,H,0.001359,0.003721129847690463,25,10
shift_low_H,H,H,0.002958,0.015288616705220193,4,3
skew_C,C,H,4.1e-05,0.0006571935373358428,43,37
skew_H,H,H,-0.000626,0.002957950928248465,47,14
span_C,C,H,0.001415,0.001126810908317566,22,26
span_H,H,H,0.001993,0.0030230286647565663,13,13
BO_loew_H,H,C,-0.052992,0.0018200223566964269,34,38
BO_loew_av_C,C,C,-0.059382,0.1310943141579628,39,15
BO_loew_sum_C,C,C,-0.052868,0.10510006919503212,33,17
BO_mayer_H,H,C,-0.053976,0.0020816607866436243,35,37
BO_mayer_av_C,C,C,-0.046372,0.0898501006886363,31,21
BO_mayer_sum_C,C,C,-0.126715,0.21377166081219912,48,7
CNX_C,C,C,-0.088181,0.15113997925072908,47,14
CNX_H,H,C,0.017995,0.019873589277267456,4,29
anisotropy_C,C,C,-0.039632,0.3125804141163826,29,6
anisotropy_H,H,C,-0.04705,0.01265767216682434,32,31
asymmetry_C,C,C,-0.055741,0.18441354669630527,36,11
asymmetry_H,H,C,-0.063565,0.009193381294608116,44,33
at_charge_loew_C,C,C,0.000469,0.16160744102671742,10,13
at_charge_loew_H,H,C,-0.033359,0.02140546403825283,24,28
at_charge_mull_C,C,C,-0.043136,0.08088686503469944,30,24
at_charge_mull_H,H,C,-0.038276,0.028103632852435112,27,27
degree_C,C,C,-0.05994,0.16630046255886555,40,12
degree_H,H,C,-0.038476,0.0,28,42
formal_charge_C,C,C,-0.057957,0.0,38,43
formal_charge_H,H,C,-0.021836,0.0,21,44
mass_C,C,C,-0.027725,0.0,22,45
mass_H,H,C,-0.01279,0.0,18,46
mayer_VA_C,C,C,-0.012482,0.18442523665726185,17,10
mayer_VA_H,H,C,0.005885,0.0012624395312741399,8,40
nodetype_onehot_C,C,C,-0.0353,0.0,26,47
nodetype_onehot_H,H,C,-0.012007,0.0,16,48
orb_charge_loew_d_C,C,C,-0.062902,0.3313420619815588,43,4
orb_charge_loew_p_C,C,C,-0.034271,0.19967143144458532,25,8
orb_charge_loew_p_H,H,C,0.005225,0.014081377536058426,9,30
orb_charge_loew_s_C,C,C,-0.03208,0.5253789387643337,23,3
orb_charge_loew_s_H,H,C,-0.008186,0.0012632178841158748,15,39
orb_charge_mull_d_C,C,C,0.013284,0.11649266816675663,6,16
orb_charge_mull_p_C,C,C,-0.061055,0.08150504063814878,41,23
orb_charge_mull_p_H,H,C,-0.000512,0.0039216019213199615,12,35
orb_charge_mull_s_C,C,C,-0.085195,0.19119038246572018,46,9
orb_charge_mull_s_H,H,C,-0.020716,0.0009167010430246592,20,41
orb_stdev_loew_p_C,C,C,-0.062539,0.10168049857020378,42,19
orb_stdev_mull_p_C,C,C,-0.073722,0.08345503360033035,45,22
shielding_dia_C,C,C,-0.014516,0.3281012587249279,19,5
shielding_dia_H,H,C,-0.005199,0.003185964422300458,13,36
shielding_para_C,C,C,0.008001,1.2423605024814606,7,1
shielding_para_H,H,C,0.035092,0.0421479232609272,2,25
shift_low_C,C,C,0.027264,1.1157367751002312,3,2
shift_low_H,H,C,-0.006431,0.038995660841464996,14,26
skew_C,C,C,0.000123,0.10054645501077175,11,20
skew_H,H,C,-0.057067,0.009865976870059967,37,32
span_C,C,C,0.015418,0.1036366056650877,5,18
span_H,H,C,0.038371,0.007931123487651348,1,34
