graph_idx,node_type,node_idx,method,error
110,H,0,gnnexplainer,Target is NaN for phenomenon explanation.
140,H,6,gnnexplainer,Target is NaN for phenomenon explanation.
140,H,7,gnnexplainer,Target is NaN for phenomenon explanation.
140,H,8,gnnexplainer,Target is NaN for phenomenon explanation.
140,H,9,gnnexplainer,Target is NaN for phenomenon explanation.
150,H,0,gnnexplainer,Target is NaN for phenomenon explanation.
150,H,1,gnnexplainer,Target is NaN for phenomenon explanation.
160,H,0,gnnexplainer,Target is NaN for phenomenon explanation.
200,H,2,gnnexplainer,Target is NaN for phenomenon explanation.
250,H,0,gnnexplainer,Target is NaN for phenomenon explanation.
250,H,1,gnnexplainer,Target is NaN for phenomenon explanation.
310,H,7,gnnexplainer,Target is NaN for phenomenon explanation.
320,H,2,gnnexplainer,Target is NaN for phenomenon explanation.
360,H,7,gnnexplainer,Target is NaN for phenomenon explanation.
390,H,4,gnnexplainer,Target is NaN for phenomenon explanation.
390,H,5,gnnexplainer,Target is NaN for phenomenon explanation.
390,H,6,gnnexplainer,Target is N
aN for phenomenon explanation.
420,H,5,gnnexplainer,Target is NaN for phenomenon explanation.
420,H,6,gnnexplainer,Target is NaN for phenomenon explanation.
420,H,7,gnnexplainer,Target is NaN for phenomenon explanation.
430,H,3,gnnexplainer,Target is NaN for phenomenon explanation.
440,H,5,gnnexplainer,Target is NaN for phenomenon explanation.
450,H,4,gnnexplainer,Target is NaN for phenomenon explanation.
450,H,5,gnnexplainer,Target is NaN for phenomenon explanation.
480,H,4,gnnexplainer,Target is NaN for phenomenon explanation.
480,H,6,gnnexplainer,Target is NaN for phenomenon explanation.
480,H,7,gnnexplainer,Target is NaN for phenomenon explanation.
490,H,3,gnnexplainer,Target is NaN for phenomenon explanation.
490,H,4,gnnexplainer,Target is NaN for phenomenon explanation.
490,H,7,gnnexplainer,Target is NaN for phenomenon explanation.
500,H,7,gnnexplainer,Target is NaN for phenomenon explanation.
500,H,8,gnnexplainer,Target is NaN for phenomenon explanation.
630,H,3,gnnexplainer,Target is NaN for phenomenon explanation.
740,H,0,gnnexplainer,Target is NaN for phenomenon explanation.
740,H,7,gnnexplainer,Target is NaN for phenomenon explanation.
740,H,8,gnnexplainer,Target is NaN for phenomenon explanation.
750,H,3,gnnexplainer,Target is NaN for phenomenon explanation.
770,H,0,gnnexplainer,Target is NaN for phenomenon explanation.
810,H,7,gnnexplainer,Target is NaN for phenomenon explanation.
820,H,7,gnnexplainer,Target is NaN for phenomenon explanation.
840,H,5,gnnexplainer,Target is NaN for phenomenon explanation.
