mask_variant,sparsity_target,method,node_type,fid_plus_model_mean,fid_plus_model_std,fid_plus_model_count,fid_minus_model_mean,fid_minus_model_std,fid_minus_model_count,n_nodes,n_graphs
scientific,0.5,gnnexplainer,C,1.39922111067507,1.0977262684525866,72,0.4331156272027228,0.5215569208706335,72,72,15
scientific,0.5,gnnexplainer,H,0.04780061378381973,0.054935641340605065,129,0.012570748177840728,0.014698127670604149,129,129,15
scientific,0.6,gnnexplainer,C,1.4723108675744798,1.1608223453636637,72,0.5061896141204569,0.6532857557407501,72,72,15
scientific,0.6,gnnexplainer,H,0.04747982652381409,0.05360885795079492,129,0.012926769493393196,0.011871790303476246,129,129,15
scientific,0.7,gnnexplainer,C,1.4095651755730312,1.0542952326286332,72,0.9434991617583566,1.0783818140626067,72,72,15
scientific,0.7,gnnexplainer,H,0.04991828797515049,0.05322963034588998,129,0.014606398003276929,0.01691888271186133,129,129,15
scientific,0.8,gnnexplainer,C,1.4799436546034284,0.9755154531000791,72,0.9417472347203228,0.976323776769182,72,72,15
scientific,0.8,gnnexplainer,H,0.045786074369914775,0.046728309683227325,129,0.021643630929233493,0.03618524404759444,129,129,15
scientific,0.9,gnnexplainer,C,0.9569742133220037,0.6884063612239042,72,1.224401010407342,1.2195693098991252,72,72,15
scientific,0.9,gnnexplainer,H,0.04437443865246551,0.048839039956922396,129,0.025972254747568174,0.03436877930616671,129,129,15
zero,0.5,gnnexplainer,C,1.541859834558434,1.3015407816138775,72,0.5085148658189509,0.5821885019881435,72,72,15
zero,0.5,gnnexplainer,H,0.048441133093695306,0.05450770469786947,129,0.012388073254463285,0.011654175992571092,129,129,15
zero,0.6,gnnexplainer,C,1.5374536828862295,1.242282915707334,72,0.5353106037817068,0.7038797703596162,72,72,15
zero,0.6,gnnexplainer,H,0.04907086147933967,0.05603125225555026,129,0.01162496907997501,0.01146025684332715,129,129,15
zero,0.7,gnnexplainer,C,1.5191940036084917,1.2520930815679596,72,0.7377703630675873,0.8019899431888117,72,72,15
zero,0.7,gnnexplainer,H,0.050297068099873936,0.0539787961802161,129,0.01591642377103946,0.016201544413236183,129,129,15
zero,0.8,gnnexplainer,C,1.2534385315246053,1.013352345722307,72,1.075151773997479,1.2442842702093067,72,72,15
zero,0.8,gnnexplainer,H,0.047401555373456125,0.04641371714534358,129,0.022577995217816775,0.03537380009220535,129,129,15
zero,0.9,gnnexplainer,C,1.0837228058112993,0.809268787268757,72,1.3022440498073895,1.2062775926159326,72,72,15
zero,0.9,gnnexplainer,H,0.043678418119517406,0.04126948824510644,129,0.025962912066038266,0.0432846819673377,129,129,15
