mask_variant,sparsity_target,method,node_type,n_nodes,n_graphs,fid_plus_model_mean,fid_plus_model_std,fid_plus_model_count,fid_minus_model_mean,fid_minus_model_std,fid_minus_model_count,fid_plus_error_delta_mean,fid_plus_error_delta_std,fid_plus_error_delta_count,fid_minus_error_delta_mean,fid_minus_error_delta_std,fid_minus_error_delta_count,actual_sparsity_feat_mean,actual_sparsity_feat_std,actual_sparsity_feat_count
scientific,0.5,gnnexplainer,C,72,15,1.39922111067507,1.0977262684525866,72,0.4331156272027228,0.5215569208706335,72,1.065309958325492,1.1964757212453574,72,0.08609971817996767,0.5545140387004692,72,,,0
scientific,0.5,gnnexplainer,H,129,15,0.04780061378381973,0.054935641340605065,129,0.012570748177840728,0.014698127670604149,129,0.032863860097966456,0.057395538306639564,129,0.0022322671242462574,0.017690758017205807,129,,,0
scientific,0.6,gnnexplainer,C,72,15,1.4723108675744798,1.1608223453636637,72,0.5061896141204569,0.6532857557407501,72,1.1566125965780683,1.2148906944288747,72,0.10074221425586277,0.6827773524226357,72,,,0
scientific,0.6,gnnexplainer,H,129,15,0.04747982652381409,0.05360885795079492,129,0.012926769493393196,0.011871790303476246,129,0.03159201483047286,0.05606839526475644,129,0.0040280948024849555,0.014172962278534517,129,,,0
scientific,0.7,gnnexplainer,C,72,15,1.4095651755730312,1.0542952326286332,72,0.9434991617583566,1.0783818140626067,72,1.087037182516522,1.193702713312506,72,0.469406480797463,1.078743373224942,72,,,0
scientific,0.7,gnnexplainer,H,129,15,0.04991828797515049,0.05322963034588998,129,0.014606398003276929,0.01691888271186133,129,0.03396770138611165,0.056294251477726306,129,0.0004555368435013202,0.016743545367395727,129,,,0
scientific,0.8,gnnexplainer,C,72,15,1.4799436546034284,0.9755154531000791,72,0.9417472347203228,0.976323776769182,72,1.1546247171031103,1.0285071450512697,72,0.5958435334679153,1.0592475640116665,72,,,0
scientific,0.8,gnnexplainer,H,129,15,0.045786074369914775,0.046728309683227325,129,0.021643630929233493,0.03618524404759444,129,0.030530907300322555,0.04848053557548709,129,0.009480046613733898,0.038117808394543644,129,,,0
scientific,0.9,gnnexplainer,C,72,15,0.9569742133220037,0.6884063612239042,72,1.224401010407342,1.2195693098991252,72,0.6815623243649801,0.7570889042176606,72,0.8692393650611242,1.2114170800265487,72,,,0
scientific,0.9,gnnexplainer,H,129,15,0.04437443865246551,0.048839039956922396,129,0.025972254747568174,0.03436877930616671,129,0.030684075989695483,0.04939578627576933,129,0.011062327223692754,0.03720281099638809,129,,,0
zero,0.5,gnnexplainer,C,72,15,1.541859834558434,1.3015407816138775,72,0.5085148658189509,0.5821885019881435,72,1.2080195587542322,1.380877477075162,72,0.178684092230267,0.6134714787472547,72,,,0
zero,0.5,gnnexplainer,H,129,15,0.048441133093695306,0.05450770469786947,129,0.012388073254463285,0.011654175992571092,129,0.03311480558657831,0.056705618205046,129,0.0021827613371749256,0.01461165048561561,129,,,0
zero,0.6,gnnexplainer,C,72,15,1.5374536828862295,1.242282915707334,72,0.5353106037817068,0.7038797703596162,72,1.2310030857721965,1.3029617952273038,72,0.14697655921594965,0.704176195689072,72,,,0
zero,0.6,gnnexplainer,H,129,15,0.04907086147933967,0.05603125225555026,129,0.01162496907997501,0.01146025684332715,129,0.03462064710929412,0.057581198195729044,129,0.0008173881806144419,0.013650914649187666,129,,,0
zero,0.7,gnnexplainer,C,72,15,1.5191940036084917,1.2520930815679596,72,0.7377703630675873,0.8019899431888117,72,1.24892378018962,1.3334658027196442,72,0.35310898659129936,0.8375511212510589,72,,,0
zero,0.7,gnnexplainer,H,129,15,0.050297068099873936,0.0539787961802161,129,0.01591642377103946,0.016201544413236183,129,0.03447876096695893,0.05673850171561918,129,0.005170665392579959,0.017770329501720403,129,,,0
zero,0.8,gnnexplainer,C,72,15,1.2534385315246053,1.013352345722307,72,1.075151773997479,1.2442842702093067,72,0.9121407444278399,1.0455668792372181,72,0.7411576768176423,1.2725686195281845,72,,,0
zero,0.8,gnnexplainer,H,129,15,0.047401555373456125,0.04641371714534358,129,0.022577995217816775,0.03537380009220535,129,0.032617918887110645,0.04813359794944932,129,0.008173583667407664,0.038195411824278366,129,,,0
zero,0.9,gnnexplainer,C,72,15,1.0837228058112993,0.809268787268757,72,1.3022440498073895,1.2062775926159326,72,0.7650681626465585,0.9225261968444306,72,0.9155434726013078,1.238254039192953,72,,,0
zero,0.9,gnnexplainer,H,129,15,0.043678418119517406,0.04126948824510644,129,0.025962912066038266,0.0432846819673377,129,0.03072217502450758,0.04150691713141282,129,0.012121761578691099,0.04435732083017632,129,,,0
