run_index,run_id,status,error,sparsity_target,mask_variant,mask_baseline_mode,ig_baseline_mode,node_rows,summary_rows,fair_rows,edge_rows,artifacts
1,run_01_s50_zero,success,,0.5,zero,zero,scientific,382,4,4,201,"{'run_output_dir': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_01_s50_zero', 'node_level_metrics': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_01_s50_zero\\node_level_metrics_20260308_232431.csv', 'summary_by_method_and_type': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_01_s50_zero\\summary_by_method_and_type_20260308_232431.csv', 'fair_comparison': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_01_s50_zero\\fair_comparison_H_C_20260308_232431.csv', 'gnn_edge_summary': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_01_s50_zero\\gnn_edge_summary_20260308_232431.csv', 'failed_nodes': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_01_s50_zero\\failed_nodes_20260308_232431.csv', 'run_config': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_01_s50_zero\\run_config_20260308_232431.json'}"
2,run_02_s50_scientific,success,,0.5,scientific,match_ig_baseline,scientific,382,4,4,201,"{'run_output_dir': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_02_s50_scientific', 'node_level_metrics': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_02_s50_scientific\\node_level_metrics_20260308_234554.csv', 'summary_by_method_and_type': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_02_s50_scientific\\summary_by_method_and_type_20260308_234554.csv', 'fair_comparison': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_02_s50_scientific\\fair_comparison_H_C_20260308_234554.csv', 'gnn_edge_summary': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_02_s50_scientific\\gnn_edge_summary_20260308_234554.csv', 'failed_nodes': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_02_s50_scientific\\failed_nodes_20260308_234554.csv', 'run_config': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_02_s50_scientific\\run_config_20260308_234554.json'}"
3,run_03_s60_zero,success,,0.6,zero,zero,scientific,382,4,4,201,"{'run_output_dir': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_03_s60_zero', 'node_level_metrics': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_03_s60_zero\\node_level_metrics_20260309_000756.csv', 'summary_by_method_and_type': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_03_s60_zero\\summary_by_method_and_type_20260309_000756.csv', 'fair_comparison': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_03_s60_zero\\fair_comparison_H_C_20260309_000756.csv', 'gnn_edge_summary': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_03_s60_zero\\gnn_edge_summary_20260309_000756.csv', 'failed_nodes': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_03_s60_zero\\failed_nodes_20260309_000756.csv', 'run_config': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_03_s60_zero\\run_config_20260309_000756.json'}"
4,run_04_s60_scientific,success,,0.6,scientific,match_ig_baseline,scientific,382,4,4,201,"{'run_output_dir': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_04_s60_scientific', 'node_level_metrics': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_04_s60_scientific\\node_level_metrics_20260309_003227.csv', 'summary_by_method_and_type': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_04_s60_scientific\\summary_by_method_and_type_20260309_003227.csv', 'fair_comparison': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_04_s60_scientific\\fair_comparison_H_C_20260309_003227.csv', 'gnn_edge_summary': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_04_s60_scientific\\gnn_edge_summary_20260309_003227.csv', 'failed_nodes': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_04_s60_scientific\\failed_nodes_20260309_003227.csv', 'run_config': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_04_s60_scientific\\run_config_20260309_003227.json'}"
5,run_05_s70_zero,success,,0.7,zero,zero,scientific,382,4,4,201,"{'run_output_dir': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_05_s70_zero', 'node_level_metrics': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_05_s70_zero\\node_level_metrics_20260309_005332.csv', 'summary_by_method_and_type': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_05_s70_zero\\summary_by_method_and_type_20260309_005332.csv', 'fair_comparison': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_05_s70_zero\\fair_comparison_H_C_20260309_005332.csv', 'gnn_edge_summary': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_05_s70_zero\\gnn_edge_summary_20260309_005332.csv', 'failed_nodes': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_05_s70_zero\\failed_nodes_20260309_005332.csv', 'run_config': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_05_s70_zero\\run_config_20260309_005332.json'}"
6,run_06_s70_scientific,success,,0.7,scientific,match_ig_baseline,scientific,382,4,4,201,"{'run_output_dir': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_06_s70_scientific', 'node_level_metrics': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_06_s70_scientific\\node_level_metrics_20260309_011654.csv', 'summary_by_method_and_type': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_06_s70_scientific\\summary_by_method_and_type_20260309_011654.csv', 'fair_comparison': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_06_s70_scientific\\fair_comparison_H_C_20260309_011654.csv', 'gnn_edge_summary': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_06_s70_scientific\\gnn_edge_summary_20260309_011654.csv', 'failed_nodes': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_06_s70_scientific\\failed_nodes_20260309_011654.csv', 'run_config': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_06_s70_scientific\\run_config_20260309_011654.json'}"
7,run_07_s80_zero,success,,0.8,zero,zero,scientific,382,4,4,201,"{'run_output_dir': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_07_s80_zero', 'node_level_metrics': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_07_s80_zero\\node_level_metrics_20260309_014130.csv', 'summary_by_method_and_type': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_07_s80_zero\\summary_by_method_and_type_20260309_014130.csv', 'fair_comparison': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_07_s80_zero\\fair_comparison_H_C_20260309_014130.csv', 'gnn_edge_summary': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_07_s80_zero\\gnn_edge_summary_20260309_014130.csv', 'failed_nodes': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_07_s80_zero\\failed_nodes_20260309_014130.csv', 'run_config': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_07_s80_zero\\run_config_20260309_014130.json'}"
8,run_08_s80_scientific,success,,0.8,scientific,match_ig_baseline,scientific,382,4,4,201,"{'run_output_dir': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_08_s80_scientific', 'node_level_metrics': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_08_s80_scientific\\node_level_metrics_20260309_020232.csv', 'summary_by_method_and_type': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_08_s80_scientific\\summary_by_method_and_type_20260309_020232.csv', 'fair_comparison': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_08_s80_scientific\\fair_comparison_H_C_20260309_020232.csv', 'gnn_edge_summary': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_08_s80_scientific\\gnn_edge_summary_20260309_020232.csv', 'failed_nodes': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_08_s80_scientific\\failed_nodes_20260309_020232.csv', 'run_config': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_08_s80_scientific\\run_config_20260309_020232.json'}"
9,run_09_s90_zero,success,,0.9,zero,zero,scientific,382,4,4,201,"{'run_output_dir': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_09_s90_zero', 'node_level_metrics': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_09_s90_zero\\node_level_metrics_20260309_022459.csv', 'summary_by_method_and_type': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_09_s90_zero\\summary_by_method_and_type_20260309_022459.csv', 'fair_comparison': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_09_s90_zero\\fair_comparison_H_C_20260309_022459.csv', 'gnn_edge_summary': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_09_s90_zero\\gnn_edge_summary_20260309_022459.csv', 'failed_nodes': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_09_s90_zero\\failed_nodes_20260309_022459.csv', 'run_config': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_09_s90_zero\\run_config_20260309_022459.json'}"
10,run_10_s90_scientific,success,,0.9,scientific,match_ig_baseline,scientific,382,4,4,201,"{'run_output_dir': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_10_s90_scientific', 'node_level_metrics': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_10_s90_scientific\\node_level_metrics_20260309_024933.csv', 'summary_by_method_and_type': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_10_s90_scientific\\summary_by_method_and_type_20260309_024933.csv', 'fair_comparison': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_10_s90_scientific\\fair_comparison_H_C_20260309_024933.csv', 'gnn_edge_summary': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_10_s90_scientific\\gnn_edge_summary_20260309_024933.csv', 'failed_nodes': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_10_s90_scientific\\failed_nodes_20260309_024933.csv', 'run_config': 'c:\\Uni\\Lab\\gnn4nmr-lab\\gnn4nmr\\results\\experiments\\fidelity_grid_20260308_225740\\run_10_s90_scientific\\run_config_20260309_024933.json'}"
