graph_idx,node_type,node_idx,method,error
360,H,7,gnnexplainer,Target is NaN for phenomenon explanation.
360,H,7,integrated_gradients,Target is NaN for IG phenomenon explanation.
450,H,4,gnnexplainer,Target is NaN for phenomenon explanation.
450,H,4,integrated_gradients,Target is NaN for IG phenomenon explanation.
450,H,5,gnnexplainer,Target is NaN for phenomenon explanation.
450,H,5,integrated_gradients,Target is NaN for IG phenomenon explanation.
490,H,3,gnnexplainer,Target is NaN for phenomenon explanation.
490,H,3,integrated_gradients,Target is NaN for IG phenomenon explanation.
490,H,4,gnnexplainer,Target is NaN for phenomenon explanation.
490,H,4,integrated_gradients,Target is NaN for IG phenomenon explanation.
490,H,7,gnnexplainer,Target is NaN for phenomenon explanation.
490,H,7,integrated_gradients,Target is NaN for IG phenomenon explanation.
530,H,0,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[H].
  baseline mass = -1.6813161373138428
  input    mass = 0.5092565417289734"
530,H,1,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[H].
  baseline mass = -1.6813161373138428
  input    mass = 0.5092565417289734"
530,H,2,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[H].
  baseline mass = -1.6813161373138428
  input    mass = 0.5092565417289734"
530,H,3,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[H].
  baseline mass = -1.6813161373138428
  input    mass = 0.5092565417289734"
530,H,4,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[H].
  baseline mass = -1.6813161373138428
  input    mass = 0.5092565417289734"
530,C,0,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[H].
  baseline mass = -1.6813161373138428
  input    mass = 0.5092565417289734"
530,C,1,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[H].
  baseline mass = -1.6813161373138428
  input    mass = 0.5092565417289734"
530,C,2,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[H].
  baseline mass = -1.6813161373138428
  input    mass = 0.5092565417289734"
740,H,0,gnnexplainer,Target is NaN for phenomenon explanation.
740,H,0,integrated_gradients,Target is NaN for IG phenomenon explanation.
740,H,1,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[Si].
  baseline mass = 0.1634555608034134
  input    mass = 1.557152509689331"
740,H,2,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[Si].
  baseline mass = 0.1634555608034134
  input    mass = 1.557152509689331"
740,H,3,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[Si].
  baseline mass = 0.1634555608034134
  input    mass = 1.557152509689331"
740,H,4,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[Si].
  baseline mass = 0.1634555608034134
  input    mass = 1.557152509689331"
740,H,5,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[Si].
  baseline mass = 0.1634555608034134
  input    mass = 1.557152509689331"
740,H,6,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[Si].
  baseline mass = 0.1634555608034134
  input    mass = 1.557152509689331"
740,H,7,gnnexplainer,Target is NaN for phenomenon explanation.
740,H,7,integrated_gradients,Target is NaN for IG phenomenon explanation.
740,H,8,gnnexplainer,Target is NaN for phenomenon explanation.
740,H,8,integrated_gradients,Target is NaN for IG phenomenon explanation.
740,H,9,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[Si].
  baseline mass = 0.1634555608034134
  input    mass = 1.557152509689331"
740,H,10,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[Si].
  baseline mass = 0.1634555608034134
  input    mass = 1.557152509689331"
740,H,11,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[Si].
  baseline mass = 0.1634555608034134
  input    mass = 1.557152509689331"
740,C,0,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[Si].
  baseline mass = 0.1634555608034134
  input    mass = 1.557152509689331"
740,C,1,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[Si].
  baseline mass = 0.1634555608034134
  input    mass = 1.557152509689331"
740,C,2,integrated_gradients,"Scientific baseline assertion failed: mass mismatch for Others[Si].
  baseline mass = 0.1634555608034134
  input    mass = 1.557152509689331"
