stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,graph_idx,node_type,node_idx,target_value,seed_runs,feature_mask_var_mean,edge_mask_var_mean,mask_var_mean
A,0.1,0.001,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,1.8152325545753286e-05,0.00021486614111279498,0.00011650923332927413
A,0.1,0.0001,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,1.8128426389737208e-05,0.00021530993127703014,0.00011671917883338367
A,0.1,1e-05,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,1.8132726487439497e-05,0.0002153673951512225,0.00011675006081933101
A,0.1,1e-06,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,1.812947590066601e-05,0.00021556802660549932,0.00011684875125308267
A,0.1,0.1,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,6.781772197382279e-05,0.0007158297729402019,0.0003918237474570124
A,0.01,0.01,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,6.717474774328972e-05,0.0007309710173254925,0.0003990728825343911
A,0.01,0.01,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,1.8796935746520787e-05,0.0008944986193168347,0.00045664777753167774
A,0.1,0.01,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,6.639085175112486e-05,0.001085353556429558,0.0005758722040903415
A,0.01,0.001,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,6.64267103918846e-05,0.0011059759699755302,0.0005862013401837073
A,0.1,0.001,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,7.688461651243319e-05,0.00111363415126573,0.0005952593838890817
A,0.1,0.0001,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,7.703651095807351e-05,0.0011163798800525714,0.0005967081955053225
A,0.1,1e-05,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,7.703687591536189e-05,0.0011166489706019701,0.000596842923258666
A,0.1,1e-06,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,7.703690211622478e-05,0.001116674611497377,0.0005968557568068009
A,0.01,0.0001,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,6.620711930596909e-05,0.001134553800434679,0.0006003804598703241
A,0.01,1e-05,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,6.609443356515411e-05,0.0011371713763831883,0.0006016329049741712
