stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,seed,fidelity_median,fidelity_iqr,abs_delta_median,edges_selected_median,feats_selected_median,runtime_sec,n_nodes_evaluated,n_nodes_requested,n_failures,error_top_reason,error_top_count,error_first_message,fallback_model_target_count
A,1e-06,1e-06,1e-12,1e-12,0.01,150,0,0.045775447972118855,0.7696596710011363,0.03852792922407389,7.5,12.5,71.96890849992633,30,30,0,,0,,0
A,1e-06,1e-06,1e-12,1e-12,0.01,150,1,0.05348994396626949,0.8116297172382474,0.0443090470507741,7.0,12.5,55.04939970001578,30,30,0,,0,,0
A,1e-06,1e-06,1e-12,1e-12,0.01,150,2,0.04636653698980808,0.74175627483055,0.041306786239147186,7.0,12.5,51.34114170004614,30,30,0,,0,,0
A,1e-06,1e-06,1e-12,1e-12,0.01,150,3,0.048938690684735775,0.6637164251878858,0.04027684684842825,7.0,13.0,51.51600869989488,30,30,0,,0,,0
A,1e-06,1e-06,1e-12,1e-12,0.01,150,4,0.0468129888176918,0.6397083178162575,0.0468129888176918,7.5,12.5,51.2268030999694,30,30,0,,0,,0
A,1e-06,1e-05,1e-12,1e-12,0.01,150,0,0.05087205860763788,0.6071900790557265,0.040921770967543125,7.5,12.5,51.24595289991703,30,30,0,,0,,0
A,1e-06,1e-05,1e-12,1e-12,0.01,150,1,0.0479557728394866,0.8116297172382474,0.03818805329501629,7.0,12.5,51.84959080000408,30,30,0,,0,,0
A,1e-06,1e-05,1e-12,1e-12,0.01,150,2,0.04636653698980808,0.7416347358375788,0.041306786239147186,7.0,12.5,52.22468550002668,30,30,0,,0,,0
A,1e-06,1e-05,1e-12,1e-12,0.01,150,3,0.048938690684735775,0.6637164251878858,0.04027684684842825,7.0,13.0,51.11380559997633,30,30,0,,0,,0
A,1e-06,1e-05,1e-12,1e-12,0.01,150,4,0.0468129888176918,0.6397083178162575,0.0468129888176918,7.5,12.5,52.07488440000452,30,30,0,,0,,0
A,1e-06,0.0001,1e-12,1e-12,0.01,150,0,0.05087205860763788,0.6079556955955923,0.04233367461711168,8.0,12.5,52.102824500063434,30,30,0,,0,,0
A,1e-06,0.0001,1e-12,1e-12,0.01,150,1,0.05348994396626949,0.7218006448820233,0.044522915966808796,7.5,13.0,51.953442799975164,30,30,0,,0,,0
A,1e-06,0.0001,1e-12,1e-12,0.01,150,2,0.04206516407430172,0.7418516068719327,0.03700541332364082,7.5,12.5,51.77510650001932,30,30,0,,0,,0
A,1e-06,0.0001,1e-12,1e-12,0.01,150,3,0.048938690684735775,0.6636262065730989,0.04027684684842825,8.0,13.0,51.9137735000113,30,30,0,,0,,0
A,1e-06,0.0001,1e-12,1e-12,0.01,150,4,0.0468129888176918,0.6057539596222341,0.0468129888176918,8.0,13.0,51.453644299996085,30,30,0,,0,,0
A,1e-06,0.001,1e-12,1e-12,0.01,150,0,0.05087205860763788,0.6079602628014982,0.040921770967543125,8.0,12.5,51.828875400009565,30,30,0,,0,,0
A,1e-06,0.001,1e-12,1e-12,0.01,150,1,0.05348994396626949,0.7742576403543353,0.0443090470507741,7.5,12.5,51.485272200079635,30,30,0,,0,,0
A,1e-06,0.001,1e-12,1e-12,0.01,150,2,0.03700541332364082,0.5234275832772255,0.03700541332364082,7.0,12.0,51.83870259998366,30,30,0,,0,,0
A,1e-06,0.001,1e-12,1e-12,0.01,150,3,0.03752742987126112,0.8280657678842545,0.028865586034953594,8.0,13.0,51.822706699953414,30,30,0,,0,,0
A,1e-06,0.001,1e-12,1e-12,0.01,150,4,0.04372336529195309,0.6401066929101944,0.04035971499979496,8.0,12.0,51.21472899999935,30,30,0,,0,,0
A,1e-06,0.01,1e-12,1e-12,0.01,150,0,0.041079687885940075,0.5695716589689255,0.03787918481975794,7.0,12.5,52.1509055000497,30,30,0,,0,,0
A,1e-06,0.01,1e-12,1e-12,0.01,150,1,0.0479557728394866,0.742920202203095,0.039966643787920475,7.0,12.5,52.05284000001848,30,30,0,,0,,0
A,1e-06,0.01,1e-12,1e-12,0.01,150,2,0.041270941495895386,0.6000841706991196,0.03589385747909546,7.0,12.0,52.137097999919206,30,30,0,,0,,0
A,1e-06,0.01,1e-12,1e-12,0.01,150,3,0.024887352250516415,0.8572798343375325,0.02206693682819605,7.0,13.0,51.910825000028126,30,30,0,,0,,0
A,1e-06,0.01,1e-12,1e-12,0.01,150,4,0.039045585319399834,0.6304360595531762,0.036223188042640686,8.0,12.0,52.60025079990737,30,30,0,,0,,0
A,1e-06,0.1,1e-12,1e-12,0.01,150,0,0.0300394706428051,0.6230279593728483,0.024914709851145744,6.5,12.5,51.81983339996077,30,30,0,,0,,0
A,1e-06,0.1,1e-12,1e-12,0.01,150,1,0.031928351148962975,0.6956972414627671,0.027672773227095604,6.0,12.5,52.01897039997857,30,30,0,,0,,0
A,1e-06,0.1,1e-12,1e-12,0.01,150,2,0.041270941495895386,0.6231998801231384,0.03590929135680199,7.0,12.0,51.277454099967144,30,30,0,,0,,0
A,1e-06,0.1,1e-12,1e-12,0.01,150,3,0.021287813782691956,0.6834960021078587,0.017798452638089657,7.0,13.0,51.507455000071786,30,30,0,,0,,0
A,1e-06,0.1,1e-12,1e-12,0.01,150,4,0.0468129888176918,0.4387774937786162,0.0468129888176918,7.0,12.0,51.38691700005438,30,30,0,,0,,0
A,1e-06,1.0,1e-12,1e-12,0.01,150,0,0.02976904809474945,0.6344896047376096,0.02472858689725399,6.5,12.5,51.36362669989467,30,30,0,,0,,0
A,1e-06,1.0,1e-12,1e-12,0.01,150,1,0.03010370582342148,0.6494051897898316,0.023968705907464027,6.0,13.0,51.103173900046386,30,30,0,,0,,0
A,1e-06,1.0,1e-12,1e-12,0.01,150,2,0.03733360394835472,0.5976166315376759,0.037320856004953384,7.0,12.5,51.42960839997977,30,30,0,,0,,0
A,1e-06,1.0,1e-12,1e-12,0.01,150,3,0.02629006188362837,0.7908994825556874,0.023469646461308002,7.0,13.0,51.08100520004518,30,30,0,,0,,0
A,1e-06,1.0,1e-12,1e-12,0.01,150,4,0.046511704102158546,0.49283321434631944,0.046511704102158546,7.0,12.0,51.349920699954964,30,30,0,,0,,0
A,1e-05,1e-06,1e-12,1e-12,0.01,150,0,0.045775447972118855,0.7705090674571693,0.03852792922407389,6.0,13.0,51.60865930002183,30,30,0,,0,,0
A,1e-05,1e-06,1e-12,1e-12,0.01,150,1,0.0479557728394866,0.8109407788142562,0.03818805329501629,6.0,12.5,51.48976120003499,30,30,0,,0,,0
A,1e-05,1e-06,1e-12,1e-12,0.01,150,2,0.04636653698980808,0.7433136403560638,0.041306786239147186,6.0,12.5,51.122901200084016,30,30,0,,0,,0
A,1e-05,1e-06,1e-12,1e-12,0.01,150,3,0.048938690684735775,0.6546657280996442,0.04027684684842825,6.5,13.0,51.41256359999534,30,30,0,,0,,0
A,1e-05,1e-06,1e-12,1e-12,0.01,150,4,0.04372336529195309,0.6329181208275259,0.03950980491936207,6.0,13.0,51.61789450002834,30,30,0,,0,,0
A,1e-05,1e-05,1e-12,1e-12,0.01,150,0,0.045775447972118855,0.7695779046043754,0.03852792922407389,6.0,13.0,51.197147300001234,30,30,0,,0,,0
A,1e-05,1e-05,1e-12,1e-12,0.01,150,1,0.0479557728394866,0.8109407788142562,0.03818805329501629,6.0,12.5,51.40133360004984,30,30,0,,0,,0
A,1e-05,1e-05,1e-12,1e-12,0.01,150,2,0.04636653698980808,0.7433136403560638,0.041306786239147186,6.0,12.5,76.05983910011128,30,30,0,,0,,0
A,1e-05,1e-05,1e-12,1e-12,0.01,150,3,0.048938690684735775,0.6546657280996442,0.04027684684842825,6.5,13.0,78.43982950004283,30,30,0,,0,,0
A,1e-05,1e-05,1e-12,1e-12,0.01,150,4,0.04372336529195309,0.6329181208275259,0.03950980491936207,6.0,13.0,78.68212709994987,30,30,0,,0,,0
A,1e-05,0.0001,1e-12,1e-12,0.01,150,0,0.05087205860763788,0.7703337171114981,0.040921770967543125,7.0,13.0,78.64994349994231,30,30,0,,0,,0
A,1e-05,0.0001,1e-12,1e-12,0.01,150,1,0.05348994396626949,0.7215781528502703,0.04424018878489733,6.0,12.5,78.14960120001342,30,30,0,,0,,0
A,1e-05,0.0001,1e-12,1e-12,0.01,150,2,0.04206516407430172,0.7418212303891778,0.03700541332364082,6.0,12.5,78.08043219998945,30,30,0,,0,,0
A,1e-05,0.0001,1e-12,1e-12,0.01,150,3,0.048938690684735775,0.6540546887554228,0.04027684684842825,7.0,13.0,78.65564540005289,30,30,0,,0,,0
A,1e-05,0.0001,1e-12,1e-12,0.01,150,4,0.04372336529195309,0.6325750523246825,0.03950980491936207,7.0,12.5,78.49074220005423,30,30,0,,0,,0
A,1e-05,0.001,1e-12,1e-12,0.01,150,0,0.05087205860763788,0.608219925314188,0.040921770967543125,8.0,12.5,78.1164104999043,30,30,0,,0,,0
A,1e-05,0.001,1e-12,1e-12,0.01,150,1,0.05348994396626949,0.7739583868533373,0.0443090470507741,7.0,12.5,78.98098879994359,30,30,0,,0,,0
A,1e-05,0.001,1e-12,1e-12,0.01,150,2,0.03700541332364082,0.5236617997288704,0.03700541332364082,7.0,12.0,78.1451640999876,30,30,0,,0,,0
A,1e-05,0.001,1e-12,1e-12,0.01,150,3,0.05256028287112713,0.8280657678842545,0.0438984390348196,8.0,13.0,78.20905990002211,30,30,0,,0,,0
A,1e-05,0.001,1e-12,1e-12,0.01,150,4,0.04372336529195309,0.619974747300148,0.03849233128130436,8.0,12.0,61.625362700084224,30,30,0,,0,,0
A,1e-05,0.01,1e-12,1e-12,0.01,150,0,0.041079687885940075,0.5695716589689255,0.03787918481975794,7.0,12.5,48.234551499946974,30,30,0,,0,,0
A,1e-05,0.01,1e-12,1e-12,0.01,150,1,0.0479557728394866,0.742920202203095,0.039966643787920475,7.0,12.5,48.502036300022155,30,30,0,,0,,0
A,1e-05,0.01,1e-12,1e-12,0.01,150,2,0.041270941495895386,0.6000841706991196,0.03589385747909546,7.0,12.0,46.70598080009222,30,30,0,,0,,0
A,1e-05,0.01,1e-12,1e-12,0.01,150,3,0.024887352250516415,0.8572798343375325,0.02206693682819605,7.0,13.0,45.72352050000336,30,30,0,,0,,0
A,1e-05,0.01,1e-12,1e-12,0.01,150,4,0.039045585319399834,0.6311356872320175,0.036223188042640686,8.0,12.0,45.73947120003868,30,30,0,,0,,0
