stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,fidelity_median,fidelity_iqr,abs_delta_median,edges_selected_median,feats_selected_median,runtime_sec,n_nodes_evaluated,n_nodes_requested,n_failures,fidelity_std,seed_runs,selection_sum,nodes_with_variability,mask_var_median,mask_var_iqr,mask_var_std,feature_mask_var_median,edge_mask_var_median,node_seed_runs_min
A,1e-05,0.001,1e-12,1e-12,0.01,150,0.05087205860763788,0.619974747300148,0.040921770967543125,8.0,12.5,78.1451640999876,30.0,30.0,0.0,0.006280946200434662,5,20.5,30,0.0567625525029644,0.03656940159904724,0.029109733035847032,0.0211873324777979,0.0919932345704043,5.0
A,1e-06,0.0001,1e-12,1e-12,0.01,150,0.048938690684735775,0.6636262065730989,0.04233367461711168,8.0,13.0,51.9137735000113,30.0,30.0,0.0,0.003871721697187188,5,21.0,30,0.050632727215224535,0.02928469480463463,0.024342644343125483,0.021031297072324012,0.08666148145366237,5.0
A,1e-05,0.0001,1e-12,1e-12,0.01,150,0.048938690684735775,0.7215781528502703,0.04027684684842825,7.0,12.5,78.49074220005423,30.0,30.0,0.0,0.004303843036304328,5,19.5,30,0.049135856059174206,0.024487422808109123,0.022914477021774744,0.021032308730959362,0.08106012729375828,5.0
A,1e-06,1e-05,1e-12,1e-12,0.01,150,0.0479557728394866,0.6637164251878858,0.040921770967543125,7.0,12.5,51.84959080000408,30.0,30.0,0.0,0.0016143117729187305,5,19.5,30,0.04972637929744245,0.02263940251500271,0.022464912577045356,0.021037571698432372,0.07756477311250076,5.0
A,1e-06,1e-06,1e-12,1e-12,0.01,150,0.0468129888176918,0.74175627483055,0.041306786239147186,7.0,12.5,51.51600869989488,30.0,30.0,0.0,0.002816507737389331,5,19.5,30,0.04913533938877569,0.022569154387582092,0.022413693893008377,0.021038301320118975,0.07599223517303787,5.0
A,0.001,1e-06,1e-12,1e-12,0.01,150,0.0468129888176918,0.6686493344604969,0.040242536924779415,1.5,12.5,46.198125099996105,30.0,30.0,0.0,0.0009636696267581403,5,14.0,30,0.02291816100712745,0.02873638538719971,0.020842097439347756,0.019337666997813027,0.018804707538532608,5.0
A,0.001,1e-05,1e-12,1e-12,0.01,150,0.0468129888176918,0.6686493344604969,0.040242536924779415,1.5,12.5,54.0239872999955,30.0,30.0,0.0,0.0009636696267581403,5,14.0,30,0.02290987687796552,0.028755259348872554,0.02084866019905025,0.019337611361536257,0.018774352607731873,5.0
A,0.001,0.0001,1e-12,1e-12,0.01,150,0.0468129888176918,0.6686493344604969,0.040242536924779415,1.5,12.5,59.302297400077805,30.0,30.0,0.0,0.0009636696267581403,5,14.0,30,0.022809716671000624,0.028910286712485803,0.020954318788723406,0.019337015640686347,0.018471302845074075,5.0
A,0.001,0.001,1e-12,1e-12,0.01,150,0.0468129888176918,0.6690381737425923,0.040242536924779415,1.5,12.5,48.10751440003514,30.0,30.0,0.0,0.0032907243209094124,5,14.0,30,0.021517481247936704,0.03142995678116835,0.022209556535466232,0.01933051557573075,0.021051764799109484,5.0
A,0.001,0.01,1e-12,1e-12,0.01,150,0.046723758801817894,0.7191956513561308,0.03852792922407389,4.0,12.5,63.3131229999708,30.0,30.0,0.0,0.0036685568243422914,5,16.5,30,0.05417063406828261,0.0373263836988702,0.02673009033802621,0.01961755145237242,0.08561649412019008,5.0
A,1e-05,1e-06,1e-12,1e-12,0.01,150,0.04636653698980808,0.7433136403560638,0.03950980491936207,6.0,13.0,51.48976120003499,30.0,30.0,0.0,0.0018058501872676197,5,19.0,30,0.04913501293961556,0.025822911809243232,0.02288648030964192,0.021418717597834702,0.07193793791766984,5.0
A,1e-05,1e-05,1e-12,1e-12,0.01,150,0.04636653698980808,0.7433136403560638,0.03950980491936207,6.0,13.0,76.05983910011128,30.0,30.0,0.0,0.0018058501872676197,5,19.0,30,0.049135048256184116,0.02648103333432974,0.022923730068951684,0.02140626021458874,0.07427956149525108,5.0
A,0.0001,1e-06,1e-12,1e-12,0.01,150,0.04636653698980808,0.6687776413746178,0.03852792922407389,4.0,12.5,45.59057399991434,30.0,30.0,0.0,0.0018058501872676197,5,16.5,30,0.034667370349165345,0.033294278161809396,0.02270859756321492,0.020038798199224814,0.04821847212584494,5.0
A,0.0001,1e-05,1e-12,1e-12,0.01,150,0.04636653698980808,0.6687776413746178,0.03852792922407389,4.0,12.5,45.28682299994398,30.0,30.0,0.0,0.0018058501872676197,5,16.5,30,0.03467128453511462,0.03327916400988208,0.022731206063599387,0.020028968132193334,0.04822637473831373,5.0
A,0.0001,0.0001,1e-12,1e-12,0.01,150,0.04636653698980808,0.6686171130277216,0.03852792922407389,4.5,12.5,44.75097240007017,30.0,30.0,0.0,0.0018058501872676197,5,17.0,30,0.03471041698046731,0.03402022618214047,0.02292694140855108,0.019485100297762056,0.04830541889026106,5.0
A,0.0001,0.001,1e-12,1e-12,0.01,150,0.045775447972118855,0.7490779794752598,0.03849233128130436,5.0,12.5,44.61656260001473,30.0,30.0,0.0,0.0025574241883066172,5,17.5,30,0.056729579343443734,0.04259845002018187,0.02905524794611727,0.021062778480985173,0.09171291724893627,5.0
A,1e-06,0.001,1e-12,1e-12,0.01,150,0.04372336529195309,0.6401066929101944,0.04035971499979496,8.0,12.5,51.822706699953414,30.0,30.0,0.0,0.00673510436094713,5,20.5,30,0.05676618790523774,0.03752506348125631,0.03090140194824352,0.02112820026182182,0.09200066015104999,5.0
A,0.01,0.01,1e-12,1e-12,0.01,150,0.04215160571038723,0.5562543654814363,0.02852923423051834,1.0,12.5,51.434347499976866,30.0,30.0,0.0,0.00781206769937116,5,13.5,30,0.02064505998753112,0.013217740825574588,0.016127638438858435,0.019913200944263923,0.013204314964725792,5.0
A,0.01,1e-06,1e-12,1e-12,0.01,150,0.04204060882329941,0.5365456193685532,0.029824577271938324,1.0,12.0,63.81244659994263,30.0,30.0,0.0,0.0058233485980865585,5,13.0,30,0.02085784176416346,0.012527157484129057,0.015677789036038194,0.019876687993082103,0.015734422360108587,5.0
A,0.01,1e-05,1e-12,1e-12,0.01,150,0.04204060882329941,0.5365456193685532,0.029824577271938324,1.0,12.0,59.989510900108144,30.0,30.0,0.0,0.0058233485980865585,5,13.0,30,0.02085762336206396,0.012527027750279408,0.015678123923787732,0.01987688560379101,0.0157335607150541,5.0
A,0.01,0.0001,1e-12,1e-12,0.01,150,0.04204060882329941,0.5365456193685532,0.029824577271938324,1.0,12.0,60.259088000049815,30.0,30.0,0.0,0.0058233485980865585,5,13.0,30,0.02085551182024497,0.012524664632199308,0.01568050794473714,0.01987898756058728,0.01572510262189948,5.0
A,0.01,0.001,1e-12,1e-12,0.01,150,0.04204060882329941,0.5365456193685532,0.029824577271938324,1.0,12.0,62.152935799909756,30.0,30.0,0.0,0.0058233485980865585,5,13.0,30,0.020835340866364106,0.012493809229511191,0.0158229058590798,0.0198967340770419,0.015641299785136176,5.0
A,1e-06,0.01,1e-12,1e-12,0.01,150,0.041079687885940075,0.6304360595531762,0.036223188042640686,7.0,12.5,52.137097999919206,30.0,30.0,0.0,0.007599227959008751,5,19.5,30,0.06541953501106457,0.048737018800231555,0.029358688006252884,0.02114758025747198,0.11801323278329946,5.0
A,1e-05,0.01,1e-12,1e-12,0.01,150,0.041079687885940075,0.6311356872320175,0.036223188042640686,7.0,12.5,46.70598080009222,30.0,30.0,0.0,0.007599227959008751,5,19.5,30,0.06542481691113206,0.04873947380118174,0.02937270518743054,0.02116311275305715,0.11803611422158788,5.0
A,0.0001,0.01,1e-12,1e-12,0.01,150,0.04042753670364618,0.6325851236470044,0.036223188042640686,6.5,12.0,44.82499100000132,30.0,30.0,0.0,0.0067768584314409725,5,18.5,30,0.062293467765218435,0.0453780406677293,0.029166031273374603,0.021119294191555543,0.1143409091283089,5.0
A,1e-06,0.1,1e-12,1e-12,0.01,150,0.031928351148962975,0.6231998801231384,0.027672773227095604,7.0,12.5,51.507455000071786,30.0,30.0,0.0,0.008924769862579842,5,19.5,30,0.08117022511028892,0.04440930339151382,0.026771460836377516,0.021790913633061793,0.1455334934533326,5.0
A,1e-05,0.1,1e-12,1e-12,0.01,150,0.031928351148962975,0.6231998801231384,0.027672773227095604,7.0,12.5,45.16523619997315,30.0,30.0,0.0,0.008924769862579842,5,19.5,30,0.0811584674639939,0.045306847601027815,0.026903048707656425,0.021790943694486538,0.1455302869592519,5.0
A,0.0001,0.1,1e-12,1e-12,0.01,150,0.031928351148962975,0.6231998801231384,0.027672773227095604,7.0,12.5,44.79766749998089,30.0,30.0,0.0,0.008899720900114176,5,19.5,30,0.0810699603889217,0.045756759095685495,0.026990159337356427,0.021962959031847605,0.1453293308901396,5.0
