feature,selections,mean_test_loss,median_test_loss,#selections relative
H::degree,14,0.5368552363280454,0.5232427696486758,0.006740491092922484
H::formal_charge,12,0.5504444219015857,0.5199982527643443,0.005777563793933558
Others::element_P,14,0.5513411168279887,0.5330071098947277,0.006740491092922484
C::shielding_para,66,0.5523817202987312,0.5345659517760699,0.03177660086663457
C::orb_charge_loew_d,44,0.5534670483262744,0.5345659517760699,0.02118440057775638
C::orb_charge_loew_s,59,0.5536106994123212,0.5363658662419766,0.028406355320173327
C::element_H,14,0.555352254958307,0.5457666655226301,0.006740491092922484
C::orb_charge_loew_p,51,0.5561644778611707,0.5363658662419766,0.02455464612421762
H::orb_charge_loew_p,42,0.5562099740261323,0.54654724369646,0.020221473278767454
C::BO_loew_sum,48,0.5564698754989732,0.5356696282591049,0.023110255175734232
H::mass,16,0.5564748415895294,0.5462475236117219,0.0077034183919114105
H::orb_charge_mull_s,26,0.5569758310623641,0.5427135657685409,0.012518054886856042
C::shift_low,69,0.5576012483930691,0.5439647074921855,0.03322099181511796
H::span,42,0.5577015581834573,0.5466440100921318,0.020221473278767454
C::at_charge_mull,46,0.5580387632636349,0.5301697529541949,0.022147327876745306
C::orb_charge_mull_d,70,0.5602888274063407,0.5440614738878573,0.033702455464612424
Others::degree,28,0.5611081509415747,0.5330071098947277,0.013480982185844969
C::at_charge_loew,49,0.5614978181856456,0.5414624240448964,0.023591718825228696
C::shielding_dia,61,0.5625239788002068,0.544158240283529,0.029369282619162253
C::span,69,0.5625680682437367,0.5439647074921855,0.03322099181511796
H::BO_loew,28,0.5627625085865654,0.54654724369646,0.013480982185844969
C::CN(X),52,0.56318451954677,0.5462296975466112,0.025036109773712085
C::orb_stdev_loew_p,52,0.5632118968322921,0.5428103321642127,0.025036109773712085
H::mayer_VA,43,0.5634438734688793,0.5491297799007346,0.020702936928261917
C::BO_loew_av,38,0.5634633490467388,0.5402620532627528,0.0182956186807896
H::at_charge_loew,22,0.5635675648278738,0.54654724369646,0.01059220028887819
H::asymmetry,27,0.5635905303186663,0.5439647074921855,0.012999518536350506
C::degree,42,0.5637901049022311,0.5462296975466112,0.020221473278767454
C::asymmetry,50,0.5642567279231291,0.5427135657685409,0.02407318247472316
C::mayer_VA,40,0.5643008488634258,0.5356696282591049,0.019258545979778528
H::orb_charge_mull_p,28,0.5655699481248387,0.550087708607316,0.013480982185844969
Others::element_Mg,15,0.5662918035680102,0.5218559795059263,0.007221954742416947
H::BO_mayer,16,0.5663112595764688,0.5494920404960535,0.0077034183919114105
H::shift_low,50,0.5669274688161067,0.548715467355214,0.02407318247472316
C::BO_mayer_sum,43,0.5673662763982361,0.544158240283529,0.020702936928261917
Others::element_C,15,0.5678518673587619,0.5363658662419766,0.007221954742416947
C::anisotropy,36,0.5682135164399543,0.5462296975466112,0.017332691381800675
H::CN(X),30,0.5694264349947121,0.550087708607316,0.014443909484833895
H::shielding_para,53,0.5699981539431952,0.5491297799007346,0.025517573423206548
C::orb_charge_mull_s,50,0.5700966566487747,0.548715467355214,0.02407318247472316
C::orb_stdev_mull_p,52,0.570344430380633,0.550087708607316,0.025036109773712085
H::orb_charge_loew_s,27,0.5716827418905646,0.5510456373138974,0.012999518536350506
C::BO_mayer_av,41,0.5727351385525684,0.5535895100484292,0.01974000962927299
Others::formal_charge,16,0.5730259981867025,0.5519620222194741,0.0077034183919114105
C::skew,47,0.5739229044060788,0.5535895100484292,0.02262879152623977
C::mass,13,0.5741902202424072,0.5918805028467129,0.006259027443428021
Others::mass,41,0.5746463014635244,0.5597658041554193,0.01974000962927299
Others::element_O,17,0.5749257609480339,0.5597658041554193,0.008184882041405874
Others::element_S,18,0.5755396295057994,0.5647906264866747,0.008666345690900338
Others::element_Al,12,0.576117244340472,0.5408108918306729,0.005777563793933558
Others::element_N,16,0.5762294617219595,0.5647906264866747,0.0077034183919114105
Others::element_Cl,15,0.5767640594762588,0.5597658041554193,0.007221954742416947
C::orb_charge_mull_p,42,0.577258538605583,0.5509453324290613,0.020221473278767454
H::shielding_dia,27,0.5776092252658755,0.5491297799007346,0.012999518536350506
Others::element_Na,15,0.5780418538656972,0.5597658041554193,0.007221954742416947
C::element_C,16,0.5795227851054819,0.5636605644365772,0.0077034183919114105
Others::element_Li,16,0.5802344117403706,0.5647906264866747,0.0077034183919114105
H::at_charge_mull,14,0.5802512011492346,0.5542836471305539,0.006740491092922484
H::skew,16,0.5837725633014564,0.550087708607316,0.0077034183919114105
Others::element_Si,16,0.5863688690425728,0.5752941943660733,0.0077034183919114105
Others::element_B,14,0.5874729203240833,0.5752941943660733,0.006740491092922484
H::anisotropy,16,0.5961227782979092,0.5720159363700077,0.0077034183919114105
