ablation_feature_key, ablation_feature_name, ablation_node_type, delta_mae_H, delta_mae_C, n_seeds, display_name
orb_charge_loew_s_C , orb_charge_loew_s    , C                 , 0.004458   , -0.062469  ,       2, orb charge loew s
orb_charge_loew_p_H , orb_charge_loew_p    , H                 , 0.003557   , 0.007137   ,       4, orb charge loew p
shift_low_H         , shift_low            , H                 , 0.003466   , -0.004519  ,       4, shift low
orb_charge_loew_s_H , orb_charge_loew_s    , H                 , 0.003262   , -0.006274  ,       4, orb charge loew s
orb_charge_mull_d_C , orb_charge_mull_d    , C                 , 0.003225   , 0.026192   ,       3, orb charge mull d
orb_charge_loew_d_C , orb_charge_loew_d    , C                 , 0.002860   , -0.088061  ,       2, orb charge loew d
orb_charge_loew_p_C , orb_charge_loew_p    , C                 , 0.002748   , -0.034526  ,       2, orb charge loew p
BO_loew_sum_C       , BO_loew_sum          , C                 , 0.002661   , -0.074124  ,       2, BO loew sum
mass_C              , mass                 , C                 , 0.002614   , -0.025813  ,       4, mass
at_charge_loew_H    , at_charge_loew       , H                 , 0.002550   , -0.031446  ,       4, at charge loew
mass_H              , mass                 , H                 , 0.002514   , -0.010878  ,       4, mass
span_H              , span                 , H                 , 0.002501   , 0.040283   ,       4, span
orb_charge_mull_s_H , orb_charge_mull_s    , H                 , 0.002450   , -0.018804  ,       4, orb charge mull s
at_charge_mull_C    , at_charge_mull       , C                 , 0.002215   , -0.041224  ,       4, at charge mull
BO_mayer_H          , BO_mayer             , H                 , 0.002189   , -0.052064  ,       4, BO mayer
nodetype_onehot_H   , nodetype_onehot      , H                 , 0.001984   , -0.010095  ,       4, nodetype onehot
mayer_VA_H          , mayer_VA             , H                 , 0.001954   , 0.007797   ,       4, mayer VA
degree_H            , degree               , H                 , 0.001947   , -0.036564  ,       4, degree
formal_charge_H     , formal_charge        , H                 , 0.001944   , -0.019924  ,       4, formal charge
span_C              , span                 , C                 , 0.001923   , 0.017330   ,       4, span
orb_stdev_loew_p_C  , orb_stdev_loew_p     , C                 , 0.001917   , -0.053888  ,       2, orb stdev loew p
shielding_para_C    , shielding_para       , C                 , 0.001900   , 0.009914   ,       4, shielding para
BO_loew_av_C        , BO_loew_av           , C                 , 0.001898   , -0.051160  ,       1, BO loew av
shielding_dia_C     , shielding_dia        , C                 , 0.001891   , -0.012604  ,       4, shielding dia
shift_low_C         , shift_low            , C                 , 0.001867   , 0.029176   ,       4, shift low
orb_stdev_mull_p_C  , orb_stdev_mull_p     , C                 , 0.001864   , -0.105885  ,       2, orb stdev mull p
BO_mayer_sum_C      , BO_mayer_sum         , C                 , 0.001744   , -0.048503  ,       1, BO mayer sum
BO_loew_H           , BO_loew              , H                 , 0.001729   , -0.051080  ,       4, BO loew
asymmetry_H         , asymmetry            , H                 , 0.001714   , -0.061653  ,       4, asymmetry
shielding_para_H    , shielding_para       , H                 , 0.001659   , 0.037004   ,       4, shielding para
CNX_H               , CN(X)                , H                 , 0.001627   , 0.019907   ,       4, CN(X)
orb_charge_mull_p_H , orb_charge_mull_p    , H                 , 0.001607   , 0.001401   ,       4, orb charge mull p
shielding_dia_H     , shielding_dia        , H                 , 0.001509   , -0.003287  ,       4, shielding dia
nodetype_onehot_C   , nodetype_onehot      , C                 , 0.001345   , -0.033388  ,       4, nodetype onehot
at_charge_loew_C    , at_charge_loew       , C                 , 0.001270   , 0.002381   ,       4, at charge loew
orb_charge_mull_s_C , orb_charge_mull_s    , C                 , 0.001230   , -0.083283  ,       4, orb charge mull s
at_charge_mull_H    , at_charge_mull       , H                 , 0.001196   , -0.036363  ,       4, at charge mull
anisotropy_C        , anisotropy           , C                 , 0.001070   , -0.037720  ,       4, anisotropy
mayer_VA_C          , mayer_VA             , C                 , 0.001068   , -0.056282  ,       1, mayer VA
BO_mayer_av_C       , BO_mayer_av          , C                 , 0.001057   , -0.101150  ,       1, BO mayer av
degree_C            , degree               , C                 , 0.000990   , -0.058028  ,       4, degree
orb_charge_mull_p_C , orb_charge_mull_p    , C                 , 0.000765   , -0.059143  ,       4, orb charge mull p
anisotropy_H        , anisotropy           , H                 , 0.000619   , -0.045138  ,       4, anisotropy
skew_C              , skew                 , C                 , 0.000549   , 0.002035   ,       4, skew
formal_charge_C     , formal_charge        , C                 , 0.000496   , -0.056045  ,       4, formal charge
asymmetry_C         , asymmetry            , C                 , 0.000387   , -0.053829  ,       4, asymmetry
skew_H              , skew                 , H                 , -0.000118  , -0.055155  ,       4, skew
CNX_C               , CN(X)                , C                 , -0.000731  , -0.086268  ,       4, CN(X)
