"Name"                    , "State"   , "Notes", "User", "Tags", "Created"                 , "Runtime", "Sweep", "ablation_drop_indices"         , "ablation_feature_key", "ablation_feature_name", "ablation_mode", "ablation_node_type", "batch_size", "encoder_dropout", "gnnlayer_dropout", "hidden_dim", "in_dim_dict.C", "in_dim_dict.H", "in_dim_dict.Others", "loss_weight_C", "loss_weight_H", "lr"    , "normalize_edge_features", "normalize_node_features", "num_epochs", "num_gnn_layers", "operator_type", "optimizer", "out_dim", "output_detailed_predictions", "output_dir", "scheduler_factor", "scheduler_patience", "seed", "split_ratio"    , "weight_decay", "epoch", "run_status", "test_mae_C"        , "test_mae_H"          , "test_mse_C"        , "test_mse_H"           , "train_mae_C"       , "train_mae_H"         , "train_mse_C"       , "train_mse_H"          , "val_mae_C"         , "val_mae_H"           , "val_mse_C"         , "val_mse_H"            , "val_score"
"drop_orb_charge_mull_p_C", "finished", "-"    , ""    , ""    , "2026-03-05T15:00:44.000Z", "338"    , ""     , "[27]"                          , "orb_charge_mull_p_C" , "orb_charge_mull_p"    , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "35"   , "ok"        , "0.6087284696102142", "0.039228802969058355", "0.6981706564625104", "0.003985862334181244" , "0.5356644916305175", "0.026879550493680515", "0.6985303028329061", "0.0014040025599220266", "0.688929526082107" , "0.035416548805577416", "1.3244833372533322", "0.0023644474675945403", "0.5215475070689406"
"drop_orb_charge_mull_s_C", "finished", "-"    , ""    , ""    , "2026-03-05T14:55:04.000Z", "338"    , ""     , "[26]"                          , "orb_charge_mull_s_C" , "orb_charge_mull_s"    , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "34"   , "ok"        , "0.6179132360219955", "0.04179801781972249" , "0.9190144586811464", "0.0045183943883360675", "0.5589366873411031", "0.027466577093761706", "0.786828233407667" , "0.00142033857743417"  , "0.7767343146460397", "0.03279839332348534" , "1.70705658942461"  , "0.002104389378551527" , "0.5523591239404465"
"drop_at_charge_loew_C"   , "finished", "-"    , ""    , ""    , "2026-03-05T14:52:12.000Z", "171"    , ""     , "[25]"                          , "at_charge_loew_C"    , "at_charge_loew"       , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "17"   , "ok"        , "0.7102855745951334", "0.043038850078980125", "0.978214876651764" , "0.00467151434160769"  , "0.6395710798639518", "0.0323041502185739"  , "1.0196768524497748", "0.0019308197874880323", "0.7947370307786125", "0.03215168763750366" , "1.4030293249125991", "0.0020247692171584016", "0.5581269535768245"
"drop_at_charge_mull_C"   , "finished", "-"    , ""    , ""    , "2026-03-05T14:46:41.000Z", "329"    , ""     , "[24]"                          , "at_charge_mull_C"    , "at_charge_mull"       , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "34"   , "ok"        , "0.6609044999877611", "0.04224328577518463" , "1.008227358708779" , "0.004824149889172986" , "0.5754301213530394", "0.02703107787726017" , "0.8634359583817423", "0.0013681295867382477", "0.6844374809946333", "0.03361799730254071" , "0.904899062109845" , "0.0024288280792201735", "0.5103087270100202"
"drop_anisotropy_C"       , "finished", "-"    , ""    , ""    , "2026-03-05T14:43:14.000Z", "206"    , ""     , "[23]"                          , "anisotropy_C"        , "anisotropy"           , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "21"   , "ok"        , "0.5666234052181244", "0.03901121966540813" , "0.650425904293855" , "0.004047577812646826" , "0.6021531772842774", "0.030112281593565757", "0.8610237842826889", "0.00169851055700117"  , "0.7736687566552843", "0.036577515117824075", "1.2227181684757982", "0.00284661871971496"  , "0.5697219539167626"
"drop_asymmetry_C"        , "finished", "-"    , ""    , ""    , "2026-03-05T14:39:41.000Z", "211"    , ""     , "[22]"                          , "asymmetry_C"         , "asymmetry"            , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "21"   , "ok"        , "0.6310416585206986", "0.04208864296476046" , "0.9023246360818544", "0.00473296769700634"  , "0.6009798771601457", "0.030338742449306524", "0.8885011348816064", "0.0017338574923073443", "0.8535470941237041", "0.033720913875315874", "1.500429471795048" , "0.0023121430663325423", "0.5953781164384314"
"drop_skew_C"             , "finished", "-"    , ""    , ""    , "2026-03-05T14:34:11.000Z", "329"    , ""     , "[21]"                          , "skew_C"              , "skew"                 , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "34"   , "ok"        , "0.6543698318799337", "0.0416817357763648"  , "0.8161796999971072", "0.004484562560683116" , "0.5668279558420182", "0.02763848454046708" , "0.8096207879598324", "0.0014419517263573093", "0.6332421998892511", "0.031924443146479985", "0.7759877969111715", "0.001919201949411737" , "0.4762433156770255"
"drop_span_C"             , "finished", "-"    , ""    , ""    , "2026-03-05T14:28:42.000Z", "328"    , ""     , "[20]"                          , "span_C"              , "span"                 , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "34"   , "ok"        , "0.6494535799821218", "0.041753256221612293", "0.8124176528056463", "0.004636920763490101" , "0.5699070898386148", "0.02754372059725798" , "0.8023853947050297", "0.0014018230465724349", "0.6869927580867495", "0.03152560776631747" , "1.1179514146542977", "0.001943409130035434" , "0.5011244178749621"
"drop_shielding_para_C"   , "finished", "-"    , ""    , ""    , "2026-03-05T14:25:14.000Z", "206"    , ""     , "[19]"                          , "shielding_para_C"    , "shielding_para"       , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "21"   , "ok"        , "0.693559021949768" , "0.04354789430896441" , "1.0685138333837192", "0.004551209683219592" , "0.630617317052988" , "0.030560802722779605", "0.9857359317231636", "0.0017438924151401108", "0.938168410531112" , "0.03440558162650892" , "2.1160853980907373", "0.002240596058046711" , "0.6411121133981006"
"drop_shielding_dia_C"    , "finished", "-"    , ""    , ""    , "2026-03-05T14:21:44.000Z", "208"    , ""     , "[18]"                          , "shielding_dia_C"     , "shielding_dia"        , "drop_column"  , "C"                 , "2"         , "0.1"            , "0.1"             , "128"       , "38"           , "33"           , "16"                , "1"            , "10"           , "0.0002", "true"                   , "true"                   , "80"        , "3"             , "GraphConv"    , "Adam"     , "128"    , "false"                      , "results"   , "0.7"             , "15"                , "0"   , "[0.7,0.15,0.15]", "0.00005"     , "21"   , "ok"        , "0.6222858194510142", "0.04287839043885469" , "0.8290552737315496", "0.004401888755771021" , "0.6234599224879191", "0.03071812544591152" , "0.9357494097489576", "0.0018235350930794643", "0.9162820145487786", "0.03452497992132391" , "1.8930001870862072", "0.0023063123442365655", "0.6307659068810089"
