"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ablation_drop_indices","ablation_feature_key","ablation_feature_name","ablation_mode","ablation_node_type","batch_size","encoder_dropout","gnnlayer_dropout","hidden_dim","in_dim_dict.C","in_dim_dict.H","in_dim_dict.Others","loss_weight_C","loss_weight_H","lr","normalize_edge_features","normalize_node_features","num_epochs","num_gnn_layers","operator_type","optimizer","out_dim","output_detailed_predictions","output_dir","scheduler_factor","scheduler_patience","seed","split_ratio","weight_decay","epoch","run_status","test_mae_C","test_mae_H","test_mse_C","test_mse_H","train_mae_C","train_mae_H","train_mse_C","train_mse_H","val_mae_C","val_mae_H","val_mse_C","val_mse_H","val_score"
"drop_mayer_VA_C","finished","-","","","2026-03-08T20:33:37.000Z","243","","[38]","mayer_VA_C","mayer_VA","drop_column","C","2","0.1","0.1","128","38","33","16","1","10","0.0002","true","true","80","3","GraphConv","Adam","128","false","results","0.7","15","6","[0.7,0.15,0.15]","0.00005","25","ok","1.029205725590388","0.047378371780117355","2.4119704389572143","0.004198088032814364","0.55675302533003","0.026998755464760157","0.8683254756205357","0.0015315144111921724","0.6834746599197388","0.038259315650377955","0.882450189015695","0.003160785440871093","0.5330339082117592"
"drop_BO_mayer_av_C","finished","-","","","2026-03-08T20:29:25.000Z","251","","[37]","BO_mayer_av_C","BO_mayer_av","drop_column","C","2","0.1","0.1","128","38","33","16","1","10","0.0002","true","true","80","3","GraphConv","Adam","128","false","results","0.7","15","6","[0.7,0.15,0.15]","0.00005","26","ok","1.0062922084331511","0.042880553665260474","2.407345821758111","0.003576024861540646","0.563925369152656","0.027216838755859778","0.8334113199550371","0.0014815361163569973","0.7794390601771218","0.03480463552155665","1.1686733072357518","0.0020931799488607796","0.5637427076963442"
"drop_BO_mayer_sum_C","finished","-","","","2026-03-08T20:25:58.000Z","205","","[36]","BO_mayer_sum_C","BO_mayer_sum","drop_column","C","2","0.1","0.1","128","38","33","16","1","10","0.0002","true","true","80","3","GraphConv","Adam","128","false","results","0.7","15","6","[0.7,0.15,0.15]","0.00005","21","ok","0.792960414091746","0.04355805702507496","1.5687927499910197","0.0035670940927229823","0.5733974303649022","0.028770297135298068","0.8409941356027355","0.0016186152077100884","0.6465166994503566","0.035075420101306265","0.8019338678568602","0.00231655488605611","0.4986354502317096"
"drop_BO_loew_av_C","finished","-","","","2026-03-08T20:19:53.000Z","363","","[35]","BO_loew_av_C","BO_loew_av","drop_column","C","2","0.1","0.1","128","38","33","16","1","10","0.0002","true","true","80","3","GraphConv","Adam","128","false","results","0.7","15","6","[0.7,0.15,0.15]","0.00005","38","ok","0.9302830410003662","0.044861672992507616","2.0214466443657875","0.0039254108172220485","0.4941567285702778","0.025124544507035843","0.6551428923419175","0.0012330480754070988","0.5826015721474375","0.03261631674000195","0.629726584575006","0.0017512989733534463","0.4543823697737285"
"drop_BO_loew_sum_C","finished","-","","","2026-03-08T20:15:50.000Z","242","","[34]","BO_loew_sum_C","BO_loew_sum","drop_column","C","2","0.1","0.1","128","38","33","16","1","10","0.0002","true","true","80","3","GraphConv","Adam","128","false","results","0.7","15","6","[0.7,0.15,0.15]","0.00005","25","ok","0.9254024096330008","0.04881894461810589","2.000128172238668","0.0048011080843086045","0.5537876843947631","0.0268053673981474","0.9146203853877692","0.0014372863623206146","0.6724511189120156","0.03617972413610135","0.8595708420234067","0.0025468151014397984","0.5171241801365145"
"drop_orb_stdev_loew_p_C","finished","-","","","2026-03-08T20:12:15.000Z","214","","[33]","orb_stdev_loew_p_C","orb_stdev_loew_p","drop_column","C","2","0.1","0.1","128","38","33","16","1","10","0.0002","true","true","80","3","GraphConv","Adam","128","false","results","0.7","15","6","[0.7,0.15,0.15]","0.00005","22","ok","0.8559187273184459","0.04531146335105101","1.4855351076523462","0.0036280572988713782","0.5945002714716471","0.028838941361755133","0.9446963442919346","0.0016580961321149236","0.6575458394629615","0.033845761178859644","0.7646554955414363","0.002054110257137966","0.498001725625779"
"drop_orb_charge_loew_d_C","finished","-","","","2026-03-08T20:09:07.000Z","186","","[32]","orb_charge_loew_d_C","orb_charge_loew_d","drop_column","C","2","0.1","0.1","128","38","33","16","1","10","0.0002","true","true","80","3","GraphConv","Adam","128","false","results","0.7","15","6","[0.7,0.15,0.15]","0.00005","19","ok","0.923177414337794","0.04875526579717795","2.013222785790761","0.0043020424673644204","0.5955495042755053","0.028963399062363","0.9062815920779338","0.001652814499505509","0.7405961385795048","0.03135238422879151","0.9801675429301604","0.001713926881867727","0.5270599904337099"
"drop_orb_charge_loew_p_C","finished","-","","","2026-03-08T20:05:31.000Z","214","","[31]","orb_charge_loew_p_C","orb_charge_loew_p","drop_column","C","2","0.1","0.1","128","38","33","16","1","10","0.0002","true","true","80","3","GraphConv","Adam","128","false","results","0.7","15","6","[0.7,0.15,0.15]","0.00005","22","ok","0.9020003896951676","0.04660515649865071","1.656613853474458","0.004189320130584141","0.59097111756985","0.02845126079538694","0.92070556598214","0.0016194544558395417","0.6620725367750441","0.03061339180650456","0.782305126956531","0.0016171113887269582","0.48410322742004486"
"drop_orb_charge_loew_s_C","finished","-","","","2026-03-08T19:57:38.000Z","472","","[30]","orb_charge_loew_s_C","orb_charge_loew_s","drop_column","C","2","0.1","0.1","128","38","33","16","1","10","0.0002","true","true","80","3","GraphConv","Adam","128","false","results","0.7","15","6","[0.7,0.15,0.15]","0.00005","50","ok","0.9644588649272918","0.04232304585476716","2.015334394176801","0.0035358292555126053","0.4867857271203628","0.02336052385946879","0.6708983047736379","0.0011305526888911398","0.6980214604309627","0.03127038071730307","0.9428812367575508","0.001676545329974033","0.5053626338019968"
"drop_orb_stdev_mull_p_C","finished","-","","","2026-03-08T19:47:46.000Z","590","","[29]","orb_stdev_mull_p_C","orb_stdev_mull_p","drop_column","C","2","0.1","0.1","128","38","33","16","1","10","0.0002","true","true","80","3","GraphConv","Adam","128","false","results","0.7","15","6","[0.7,0.15,0.15]","0.00005","63","ok","0.9263627457618714","0.04101215916375319","2.012439866065979","0.003330123825774838","0.47020369325692835","0.02213771409570025","0.6259514145954297","0.0010041289749474695","0.6018090733460018","0.0309016571380198","0.6888154108609472","0.0015814765784723153","0.4554128223630999"
