seed,graph_idx,compound,graph_num_nodes,graph_num_edges,target_node_type,node_idx,target_value,feature_h_dim,feature_c_dim,edge_dim,feature_h_vector,feature_c_vector,edge_vector
0,0,1,11,20,H,0,-0.17985659837722778,33,39,20,"[0.09596357494592667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09538182119528453, 0.0, 0.09420102834701538, 0.09306422869364421, 0.0952594776948293, 0.0976320927341779, 0.09190748631954193, 0.09707016994555791, 0.09365787853797276, 0.09241938839356105, 0.1044624000787735, 0.09436128536860149, 0.09579517940680186, 0.10036976883808772, 0.09343523780504863, 0.0975475658973058, 0.1002607320745786, 0.09758838514486949, 0.08943819999694824, 0.09651452551285426]","[0.0, 0.08771806955337524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08689026236534118, 0.0, 0.09018714427947998, 0.08309930860996247, 0.0875977098941803, 0.08554684817790985, 0.08582355678081513, 0.08015173971652985, 0.0849437564611435, 0.08935190737247467, 0.08179049491882324, 0.09087116122245789, 0.08376786708831788, 0.07989241480827332, 0.08008949756622315, 0.08706477284431458, 0.08529905378818511, 0.08174429535865783, 0.08327244222164154, 0.08196267634630203, 0.08586141169071197, 0.08711415827274323, 0.0861065149307251, 0.0877650111913681, 0.08862435221672058, 0.0841596245765686]","[0.0715557411313057, 0.928224503993988, 0.0, 0.9288697838783264, 0.0, 0.0, 0.0, 0.0, 0.07166080176830292, 0.9289640188217163, 0.06457074731588364, 0.0, 0.0, 0.0, 0.9340909123420715, 0.07249034196138382, 0.9375180006027222, 0.9355474710464478, 0.0, 0.0]"
0,0,1,11,20,H,1,-0.14272424578666687,33,39,20,"[0.08650256445010503, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0941011110941569, 0.0, 0.09330808619658153, 0.093068428337574, 0.09523466229438782, 0.08866641049583752, 0.09658144662777583, 0.10136020928621292, 0.10195766886075337, 0.0926123782992363, 0.09289540598789851, 0.09338163832823436, 0.09737717111905415, 0.09857689092556636, 0.0961094672481219, 0.09741457800070445, 0.09394312649965286, 0.09670818100372951, 0.10018191238244374, 0.09273666888475418]","[0.0, 0.08583148121833802, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08446863293647766, 0.0, 0.07979296743869782, 0.08403086364269256, 0.08533750176429748, 0.08350771963596344, 0.08495849072933197, 0.08546873331069946, 0.08455803245306015, 0.08878876268863678, 0.08402717411518097, 0.08227710127830505, 0.0851361721754074, 0.08696905374526978, 0.09510347843170167, 0.08284185528755188, 0.09200634360313416, 0.0824372112751007, 0.08675144910812378, 0.08511516153812408, 0.08596224784851074, 0.08125794231891632, 0.07827574014663696, 0.08464227020740508, 0.0862122505903244, 0.08632900416851044]","[0.06325307488441467, 0.07198160886764526, 0.0, 0.04037925601005554, 0.0, 0.0, 0.0, 0.0, 0.9288091063499451, 0.07188041508197784, 0.07246007025241852, 0.0, 0.0, 0.0, 0.06262969225645065, 0.0592343732714653, 0.9352439641952515, 0.06889650225639343, 0.0, 0.0]"
0,0,1,11,20,H,2,-0.18340036273002625,33,39,20,"[0.09440172463655472, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09064771483341853, 0.0, 0.09482179085413615, 0.09436295181512833, 0.09705331921577454, 0.09093272189299266, 0.09014968325694402, 0.091285885622104, 0.0955804983774821, 0.09712210545937221, 0.09088907142480214, 0.09175824622313182, 0.09660878032445908, 0.09630038837591808, 0.09355487674474716, 0.09152455627918243, 0.09144210815429688, 0.09655872484048207, 0.08922932048638661, 0.09743447601795197]","[0.0, 0.0892508089542389, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08857009708881378, 0.0, 0.08428311049938202, 0.07973908483982087, 0.08451958596706391, 0.0895336925983429, 0.0821833848953247, 0.08716972768306733, 0.08888300061225891, 0.08539474010467529, 0.0867465853691101, 0.086051544547081, 0.08640740811824799, 0.0864508330821991, 0.0854983389377594, 0.0836056798696518, 0.08937308490276337, 0.08441610932350159, 0.08490830659866333, 0.08613133132457733, 0.0839565098285675, 0.08059680461883545, 0.08776406347751617, 0.0857734352350235, 0.0885615587234497, 0.08181348592042922]","[0.9357444047927856, 0.07071180641651154, 0.0, 0.9289078116416931, 0.0, 0.0, 0.0, 0.0, 0.0646527111530304, 0.0663585215806961, 0.9350311756134033, 0.0, 0.0, 0.0, 0.06975794583559036, 0.07292167842388153, 0.06818894296884537, 0.07246019691228867, 0.0, 0.0]"
0,0,1,11,20,H,3,-0.5416102409362793,33,39,20,"[0.11762759337822597, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.123317984243234, 0.0, 0.11594290286302567, 0.11718820780515671, 0.11543349673350652, 0.11983736356099446, 0.1543306534488996, 0.11380754907925923, 0.12702790896097818, 0.1183234378695488, 0.12061653782924016, 0.1145325352748235, 0.12144012500842412, 0.11850840598344803, 0.12032692382733028, 0.12521964311599731, 0.1126875268916289, 0.12288734565178554, 0.11572213843464851, 0.12149691085020702]","[0.0, 0.1140421211719513, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11070527732372284, 0.0, 0.13029922246932985, 0.26514670848846433, 0.13185127675533295, 0.11880096793174744, 0.2802396357059479, 0.12659906446933747, 0.11777056157588958, 0.11016961634159088, 0.21621977984905244, 0.11891546547412872, 0.2524398684501648, 0.11831671297550202, 0.10916922092437745, 0.10793205350637436, 0.11594732999801635, 0.12983777225017548, 0.11813714802265167, 0.11474153101444244, 0.1307287633419037, 0.1150574505329132, 0.11567387580871583, 0.12100861072540284, 0.11828929781913758, 0.12192079722881317]","[0.9257593154907227, 0.940086305141449, 0.9341191053390503, 0.06996238231658936, 0.0, 0.07203701883554459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9239206314086914, 0.0, 0.0, 0.0713469609618187, 0.9287030696868896, 0.9313782453536987, 0.9282512068748474, 0.9300144910812378, 0.0]"
0,0,1,11,20,H,4,-0.29296109080314636,33,39,20,"[0.04826237509648005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04864555845657984, 0.0, 0.043892708917458854, 0.04645554721355438, 0.05031255135933558, 0.0450922225912412, 0.056894188125928245, 0.0515005091826121, 0.04836189250151316, 0.046563610434532166, 0.04529971877733866, 0.04732626676559448, 0.0415260394414266, 0.0496903657913208, 0.048583472768465676, 0.046987131237983704, 0.04650159925222397, 0.042105209082365036, 0.04829704016447067, 0.047343398133913674]","[0.0, 0.14231808483600616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1461311995983124, 0.0, 0.14533555805683135, 0.15091121196746826, 0.14320351481437682, 0.14664716124534607, 0.14038290977478027, 0.13856607675552368, 0.14763616919517517, 0.1396591380238533, 0.14507098793983458, 0.14022215008735656, 0.1379557102918625, 0.1422458916902542, 0.14252687096595765, 0.13313408941030502, 0.14592039287090303, 0.13786751925945281, 0.14401870369911193, 0.13714077472686767, 0.13453094363212587, 0.14275043606758117, 0.14206628799438475, 0.14408937692642212, 0.14221641421318054, 0.1387687385082245]","[0.07349288463592529, 0.0, 0.9328259229660034, 0.07245798408985138, 0.9354296922683716, 0.06781363487243652, 0.0, 0.07355014979839325, 0.0, 0.0, 0.0, 0.0, 0.05838410183787346, 0.0, 0.0, 0.0, 0.0, 0.9304330945014954, 0.06192687153816223, 0.0]"
0,0,1,11,20,H,5,-0.3744361400604248,33,39,20,"[0.024054718514283497, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022318209211031597, 0.0, 0.023185829321543377, 0.02536385754744212, 0.02378471940755844, 0.021596267819404602, 0.025240786373615265, 0.026629045605659485, 0.025430957476298015, 0.02319370706876119, 0.022252686321735382, 0.021793661018212635, 0.024534575641155243, 0.022719000776608784, 0.02399604767560959, 0.02226646492878596, 0.025013580918312073, 0.025205003718535107, 0.022060294946034748, 0.02394344409306844]","[0.0, 0.08527949452400208, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08343120217323304, 0.0, 0.08677896857261658, 0.08832024335861206, 0.08760590255260467, 0.08263426870107651, 0.08308758437633515, 0.08738477230072021, 0.08164690136909485, 0.0853550136089325, 0.08603537678718567, 0.08488469719886779, 0.0864955574274063, 0.08642830550670624, 0.07660315632820129, 0.0794725924730301, 0.08227905929088593, 0.0795118123292923, 0.08258876204490662, 0.08526812195777893, 0.08257900476455689, 0.08667614161968232, 0.09486493170261383, 0.0884045571088791, 0.0796427845954895, 0.08334460854530334]","[0.0, 0.0, 0.0, 0.0, 0.9335126280784607, 0.0, 0.9407503604888916, 0.9399082660675049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06480906158685684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9281351566314697]"
0,0,1,11,20,C,0,-2.1809728145599365,33,39,20,"[0.11243829379479091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1206071749329567, 0.0, 0.11989839375019073, 0.12508638948202133, 0.11248850574096043, 0.12070546299219131, 0.12371315310398738, 0.11575352897246678, 0.1192161093155543, 0.12123991300662358, 0.12104593714078267, 0.11804937074581782, 0.11712815115849178, 0.11940867453813553, 0.12060258040825526, 0.11399211486180623, 0.12136410425106685, 0.1223038633664449, 0.11944293603301048, 0.10812372838457425]","[0.0, 0.12659700512886046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11866746544837951, 0.0, 0.11023838222026824, 0.17993079125881195, 0.10888693630695342, 0.12307443022727967, 0.19353922605514526, 0.11898859143257141, 0.11854933798313141, 0.11179888248443604, 0.1208801507949829, 0.11511657238006592, 0.12114263772964477, 0.11548170149326324, 0.1109494298696518, 0.11144451946020126, 0.1162506490945816, 0.20560192167758942, 0.1155048668384552, 0.11638522744178773, 0.11466276943683625, 0.1199883759021759, 0.113333460688591, 0.12130405604839326, 0.11472229659557343, 0.113813716173172]","[0.9413930773735046, 0.9365237355232239, 0.07302234321832657, 0.0720137357711792, 0.0, 0.06557350605726242, 0.0, 0.0, 0.07204332947731018, 0.04637696221470833, 0.9394729137420654, 0.9360063672065735, 0.0, 0.0, 0.07268967479467392, 0.07818473875522614, 0.9324603080749512, 0.06675935536623001, 0.9326529502868652, 0.0]"
0,0,1,11,20,C,1,-16.9322566986084,33,39,20,"[0.5638561397790909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11691329379876454, 0.0, 0.18261212358872095, 0.36334813634554547, 0.36204851294557255, 0.25135620683431625, 0.5311381295323372, 0.38024579485257465, 0.26075554887453717, 0.16079204281171164, 0.3752868374188741, 0.3530660072962443, 0.6043283541997274, 0.6014095693826675, 0.29344484706719715, 0.4670170148213704, 0.22398090362548828, 0.17931349823872247, 0.1879673401514689, 0.2143685296177864]","[0.0, 0.2917439520359039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.413870370388031, 0.0, 0.6427738338708877, 0.5165321230888367, 0.5512777388095855, 0.35567310750484465, 0.4738279789686203, 0.48187958896160127, 0.45336200296878815, 0.4193011671304703, 0.4050542563199997, 0.5609306573867798, 0.5297352105379105, 0.5901144444942474, 0.42140100002288816, 0.6178051441907882, 0.47107304334640504, 0.7691673040390015, 0.6423105388879776, 0.36804836094379423, 0.5697836741805077, 0.40281238257884977, 0.5133582413196563, 0.488945247232914, 0.569564339518547, 0.5584423840045929]","[0.839730441570282, 0.9137201309204102, 0.9161590933799744, 0.8045920133590698, 0.9469855427742004, 0.8871462345123291, 0.0, 0.08532273024320602, 0.9419705867767334, 0.08021548390388489, 0.9497494697570801, 0.824008047580719, 0.8638039827346802, 0.0, 0.8335724472999573, 0.7878113389015198, 0.8553792238235474, 0.8200762271881104, 0.8134456872940063, 0.0]"
0,0,1,11,20,C,2,-8.388336181640625,33,39,20,"[0.3050217057267825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14797885219256082, 0.0, 0.1544315442442894, 0.3085107058286667, 0.322158416112264, 0.28604698181152344, 0.3043987254301707, 0.1773850421110789, 0.14898357167840004, 0.16449383894602457, 0.2358120655020078, 0.2595312036573887, 0.17721622437238693, 0.2005430869758129, 0.26767638822396594, 0.16525300095478693, 0.3211251571774483, 0.14439047873020172, 0.1556823601325353, 0.17751363664865494]","[0.0, 0.25419649183750154, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34378041625022887, 0.0, 0.537660413980484, 0.438288140296936, 0.5120327055454255, 0.3708432912826538, 0.5492441773414611, 0.44635593295097353, 0.3775136470794678, 0.47014606893062594, 0.4680101603269577, 0.345709028840065, 0.5204538494348526, 0.5338000655174255, 0.27829012274742126, 0.42134817838668825, 0.21822347939014436, 0.5620650053024292, 0.4325063228607178, 0.6133081257343292, 0.49095873832702636, 0.4707828193902969, 0.3920040339231491, 0.4429012626409531, 0.5102823227643967, 0.38721332550048826]","[0.8500238060951233, 0.906272828578949, 0.892509937286377, 0.858468234539032, 0.91315758228302, 0.750802218914032, 0.914014458656311, 0.8978573083877563, 0.0, 0.0, 0.0, 0.9094520211219788, 0.830748438835144, 0.0, 0.057018354535102844, 0.9235342144966125, 0.06927639245986938, 0.8011298775672913, 0.7346159815788269, 0.06955397874116898]"
0,0,1,11,20,C,3,-6.655499458312988,33,39,20,"[0.13840523113807043, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07068845132986705, 0.0, 0.07246830066045125, 0.11405327916145325, 0.13922374695539474, 0.10150108486413956, 0.1311748002966245, 0.12424436459938686, 0.08808148155609767, 0.0795016959309578, 0.1084312970439593, 0.10004837562640508, 0.06941067675749461, 0.06501344343026479, 0.09009772787491481, 0.07879176984230678, 0.1304790104428927, 0.07722463458776474, 0.07905555764834087, 0.08136800924936931]","[0.0, 0.38823807835578916, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33106539249420164, 0.0, 0.3524948239326477, 0.3882660835981369, 0.3992819219827652, 0.3144832491874695, 0.4052168309688568, 0.36638357639312746, 0.3313103258609772, 0.34106306582689283, 0.35347189009189606, 0.27259158045053483, 0.44130587875843047, 0.36962772309780123, 0.23559734225273132, 0.2833343416452408, 0.24597202986478806, 0.29624972939491273, 0.26842587292194364, 0.36918158233165743, 0.3184470236301422, 0.2202132225036621, 0.3732713878154755, 0.2707950085401535, 0.3209682166576385, 0.4174107998609543]","[0.06262760609388351, 0.0, 0.08278807252645493, 0.05758529156446457, 0.7956913709640503, 0.7673066854476929, 0.6633378267288208, 0.8262852430343628, 0.0, 0.0, 0.0, 0.0, 0.9184375405311584, 0.9262628555297852, 0.0, 0.0, 0.0, 0.9286265969276428, 0.8091957569122314, 0.8135088682174683]"
