graph_idx,compound,graph_num_nodes,graph_num_edges,explained_nodes,graph_edge_importance_mean,graph_edge_var_mean,graph_edge_var_median,graph_edge_var_std
0,1,11,20,11,0.31726415566761385,0.05948533900394095,0.06007453572697362,0.02227924980093685
10,2,12,24,12,0.38543729120477416,0.08215071738452347,0.08360365829626554,0.007515883331480886
20,3,12,24,12,0.32772712269927273,0.06629741336788574,0.0678826617703388,0.00751088121749555
30,4,13,26,13,0.33278322563721585,0.07961683451938796,0.07808668409818359,0.0179105900123984
40,5,13,24,13,0.2714507697150111,0.05404183042791444,0.05733603339862678,0.012215712494981717
50,6,14,30,14,0.31082502693115244,0.07412131029945342,0.0658951307554809,0.025943945369820958
60,7,15,28,15,0.24949652902427172,0.054788215737336735,0.05544822541588691,0.008395753269377885
70,8,15,32,15,0.3488244811367865,0.06348829334231919,0.055889320214552105,0.01877414419857708
80,9,17,34,17,0.2453665295828482,0.05550491784865589,0.056355291178801205,0.010408197245946044
90,10,17,36,17,0.2517666119680393,0.06029453339677201,0.052985033130807144,0.0218795461377949
100,11,20,40,20,0.21403984009008856,0.044987827916650465,0.04473097816809943,0.014563012902486584
110,13,10,20,8,0.3842644678847864,0.08408536692881824,0.08466249533359085,0.01406943784649211
120,16,12,22,11,0.32680596051475974,0.08414833657022423,0.08056224814144067,0.012866577063237223
130,17,13,24,12,0.3026752760737306,0.06409719114999428,0.0652399261182141,0.010118300661573862
140,18,15,28,9,0.2747716895925502,0.0829776112309805,0.07246811751027571,0.029311693005081026
150,19,16,32,12,0.2530602082881766,0.07074417626185898,0.06603369253978966,0.017780015208168708
160,20,16,34,14,0.2559311153836736,0.05850144580255297,0.04717476892927783,0.023240367202947716
170,21,20,42,18,0.2082886128237954,0.054988388443679224,0.04669006240079125,0.016323769633665233
180,22,8,14,7,0.4552652684173414,0.06787517416592953,0.07032043629903247,0.02530408395662003
190,23,8,16,6,0.42082107814882574,0.0787095979370707,0.07997698877945034,0.008138712812539176
200,24,9,16,7,0.420364721495259,0.11438089555280054,0.11360073835958463,0.019350388077463844
210,25,9,18,8,0.42444608741336404,0.08075558724089164,0.08155278826376818,0.011531367357997447
220,26,9,16,8,0.35557159705786034,0.07479235692003776,0.08634295861289318,0.03344219046012616
230,27,9,16,7,0.33534979220213634,0.06251030049366273,0.06845927258069988,0.02398220345900186
240,28,10,18,9,0.34965830774126966,0.07759660692470671,0.08286371789597151,0.014919327147788248
250,29,10,18,5,0.30106544243792693,0.09329696468486494,0.08800945660922171,0.01726820716338767
260,30,10,18,7,0.3930595064328776,0.09535696257216646,0.0903672791334044,0.013213237651798906
270,31,11,22,10,0.3548877678997815,0.0965249189140963,0.09615670733733292,0.018168396317713064
280,32,11,22,10,0.38682546517049726,0.07378661983947048,0.0738467420563469,0.010456925946441688
290,33,11,20,9,0.29519843507972027,0.0716424480350542,0.06916840335653042,0.011190693660705076
300,34,11,22,9,0.31741095110021456,0.09447605012381069,0.08460064541024565,0.027887684702550364
310,35,12,22,10,0.31685577391562136,0.08180541014852388,0.0732866533101851,0.023709495461612204
320,36,12,22,10,0.31372672849758104,0.08146722315363981,0.08016851240351028,0.013043662713756248
330,37,12,22,10,0.26804782552813944,0.06763680357502769,0.06823214191611861,0.006784425089013761
340,38,12,24,11,0.3784778109031983,0.0818176321898647,0.07830183295236576,0.03068560564279578
350,39,12,24,10,0.32798779368400577,0.09429785260991609,0.08971742713970607,0.01984339833546371
360,40,13,24,11,0.3015933351351343,0.05949995565661564,0.057410345766110725,0.014917933571336755
370,41,13,26,12,0.2990435955592264,0.0840369885677077,0.08160441748504843,0.01843953995276195
380,42,13,24,12,0.2928335973294452,0.07322624902537687,0.06612509365028856,0.015693228056704263
390,43,13,24,7,0.3277163727386367,0.0868197309442017,0.08009292786037332,0.024311157790275907
400,44,14,28,13,0.31308357836985656,0.08078056294669635,0.07905166350469424,0.01772541236997539
410,45,14,30,13,0.2985525512580688,0.08329999460147831,0.07765699729575706,0.016881772506722542
420,46,14,26,8,0.2669882952289369,0.08602520482131777,0.07988329490630201,0.0181930541641043
430,47,14,28,11,0.29044133732579164,0.06150848488308187,0.06001698176931613,0.024893395277343987
440,48,14,28,10,0.3016965723862605,0.0648986108929607,0.06193466329395887,0.02049543142793578
450,50,15,30,9,0.2794747866883322,0.05970128030706597,0.053818501915628286,0.02015491548109586
460,51,16,30,14,0.2102041596688685,0.05148530572799651,0.049076710057980186,0.013512425797976266
470,52,16,32,15,0.22725204844182978,0.0501075224637271,0.05018850916337074,0.011659870939806838
480,53,16,30,9,0.2865867755672446,0.07245929169736014,0.07438342224227901,0.02547135383344552
490,54,16,30,9,0.2870353943302676,0.06393948214850308,0.06167625499542569,0.015271535297725618
500,55,17,34,12,0.2704431683025962,0.07076432875716569,0.06590413897862708,0.01732309253674571
510,56,18,38,16,0.2256346241767077,0.06078756629684136,0.0566184302616927,0.021367495379365536
520,57,19,38,18,0.2180087336758424,0.05869917615892453,0.05574428759246883,0.011308637428145545
530,58,10,20,8,0.37973870237823576,0.10675063755879009,0.10393577802286424,0.021471550585174727
540,59,11,20,9,0.36366378660417265,0.0708257457600656,0.0710841080036381,0.026501403822387592
550,60,12,24,11,0.34773106588840935,0.0686998979856747,0.06766776497362544,0.012653751521955348
560,61,12,22,10,0.32374799372459,0.056336302901728544,0.0615392712994448,0.01691429513262519
570,62,14,26,13,0.26960464139529583,0.07587915080324516,0.07102784997411321,0.017854164221312644
571,82,13,24,8,0.2600018287892453,0.06026041718746124,0.06278847436892943,0.010104576427322468
581,83,14,26,12,0.2973336474587902,0.06472161688067028,0.06442626167710938,0.005755594278891512
591,84,15,28,12,0.23032315562789638,0.04986021104924382,0.05223066881360393,0.007031101420234791
601,85,16,30,15,0.22924615361789863,0.054663768801398595,0.05351912083313723,0.012814164494842939
611,86,9,18,8,0.4020363122004912,0.08013053058071462,0.08126180930432157,0.009741652667194753
621,87,11,22,9,0.32879017939546495,0.10007375959496272,0.09388525766376844,0.024343095029387408
631,88,12,22,10,0.3138736114278436,0.08467473288397163,0.0804929468679575,0.015959863585291407
641,89,12,22,10,0.30784815735437654,0.07972526052133658,0.07736490331888976,0.026820730517300502
651,90,12,22,10,0.28509311603212895,0.07864089454431542,0.07251696705712332,0.01763838474196803
661,91,13,26,11,0.306276307424361,0.06416597054897813,0.06323663024177445,0.010120124329199665
671,92,14,28,12,0.26290469358320395,0.0724618718377527,0.06834485147170016,0.012853973712671756
681,93,15,30,13,0.22417110088926093,0.07138085269507505,0.062198251413750155,0.02620579154569168
691,94,5,8,2,0.5356582086067647,0.05886572554578862,0.05886572554578862,0.04647392919413414
692,99,10,18,8,0.3787616259728869,0.09631240341164701,0.09996096310039876,0.021876866562683204
702,100,11,20,9,0.3379677016153518,0.08433986351426909,0.0763662752309124,0.027250541977801267
